SMPLID,Habitat,Individual,Dataset,Acc.no,total input read (pairs),Rejected 1st read pair,Rejected 2nd read pair,Accepted 1st read pair,Accepted 2nd read pair,Singleton 1st read pair,Singleton 2nd read pair,Avg read length,AvgQual read quality (if quality information available),average accumulated Error,Latitude,Longitude,Date when the sample was collected.
G2745X,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,888364,116420,219107,771944,669257,144111,41424,241,36.2,0.769,58.33,21.90,7/2/13
G2745,Savannas,-,Global_soil,ENA_ERP020652,823788,138779,264347,685009,559441,162705,37137,236,35.6,0.769,-12.72,131.75,12/5/11
G2747,Savannas,-,Global_soil,ENA_ERP020652,7456747,336548,1381058,7120199,6075689,1080221,35711,239,35.4,0.854,-12.76,132.75,12/5/11
G2751,Savannas,-,Global_soil,ENA_ERP020652,18152967,2319474,5323534,15833493,12829433,3682801,678741,241,36.2,0.725,-13.53,131.32,12/6/11
G2754,Savannas,-,Global_soil,ENA_ERP020652,129787,26661,41709,103126,88078,21361,6313,236,35.7,0.747,-12.67,131.07,12/6/11
G2755X,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,858258,55493,138294,802765,719964,89520,6719,238,35.4,0.872,58.39,22.66,6/28/12
G2755,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,18315648,2123919,4342266,16191729,13973382,2986675,768328,243,36.4,0.722,-12.70,131.00,12/7/11
G2757X,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,3248266,87961,402629,3160305,2845637,333120,18452,240,35.6,0.87,58.02,22.17,6/29/12
G2758,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1367954,331099,497345,1036855,870609,217069,50823,234,35.7,0.646,3.71,101.72,12/9/11
G2760,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,11298273,1616388,2921495,9681885,8376778,1740915,435808,238,36.2,0.623,3.30,101.62,12/10/11
G2788,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,933796,121993,203363,811803,730433,131244,49874,241,36.2,0.763,58.30,22.10,7/1/12
G2829,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,820498,120596,379549,699902,440949,274869,15916,238,35.9,0.784,58.56,23.55,7/17/12
G2830,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,872699,122031,240776,750668,631923,157776,39031,239,36.0,0.781,58.58,23.57,7/17/12
G2831,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,871387,25848,110441,845539,760946,90853,6260,238,35.4,0.904,58.62,24.10,7/18/12
