SMPLID,Habitat,Individual,Dataset,Acc.no,total input read (pairs),Rejected 1st read pair,Rejected 2nd read pair,Accepted 1st read pair,Accepted 2nd read pair,Singleton 1st read pair,Singleton 2nd read pair,Avg read length,AvgQual read quality (if quality information available),average accumulated Error,Latitude,Longitude,Date when the sample was collected.
S045,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,684536,20955,115867,663581,568669,98632,3720,239,35.5,0.9,18.32,-65.82,3/9/11
S049,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1015637,25707,132994,989930,882643,113149,5862,240,35.7,0.888,18.32,-65.82,3/9/11
S052,Mediterrean,-,Global_soil,ENA_ERP020652,842760,33861,163698,808899,679062,135323,5486,236,35.0,0.926,30.14,51.54,12/12/12
S053,Mediterrean,-,Global_soil,ENA_ERP020652,974428,141341,276140,833087,698288,180548,45749,238,35.9,0.783,30.73,51.57,12/12/12
S056,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2683356,183463,457043,2499893,2226313,288829,15249,239,35.7,0.78,5.44,-60.09,6/5/12
S058,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1042427,48799,179505,993628,862922,136993,6287,237,35.4,0.872,5.31,-59.93,6/14/12
S061,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,836632,39705,162752,796927,673880,128088,5041,236,35.3,0.886,5.31,-59.92,6/14/12
S062,Savannas,-,Global_soil,ENA_ERP020652,1115124,164377,319088,950747,796036,205098,50387,239,35.9,0.777,-37.73,145.24,5/18/12
S063,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,862986,29374,137021,833612,725965,112881,5234,238,35.4,0.897,-37.49,145.83,6/10/12
S068,Savannas,-,Global_soil,ENA_ERP020652,9083598,1028220,2521808,8055378,6561790,1794078,300490,243,36.5,0.71,-20.02,29.48,12/20/12
S069,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2708070,524798,942277,2183272,1765793,429034,11555,230,35.0,0.659,3.35,12.73,4/19/12
S070a,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1996961,459564,751760,1537397,1245201,300738,8542,232,35.1,0.712,3.37,12.74,4/21/12
S072,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,9318761,186289,1085668,9132472,8233093,942447,43068,242,36.0,0.806,29.74,-82.44,10/30/12
S073,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,6835664,244879,884359,6590785,5951305,668424,28944,241,36.1,0.761,-44.07,-73.10,3/14/12
S075,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1081741,149409,274038,932332,807703,177640,53011,240,36.1,0.777,-41.08,-71.55,3/20/12
S079,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,827692,29090,149349,798602,678343,124936,4677,237,35.3,0.915,-40.13,-71.66,3/21/12
S081,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,977316,42081,171835,935235,805481,135381,5627,237,35.3,0.912,-40.13,-71.68,3/21/12
S085,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1281288,36948,187814,1244340,1093474,158279,7413,239,35.5,0.895,-41.20,-71.82,3/22/12
S089,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1086639,33988,210364,1052651,876275,181591,5215,237,35.3,0.916,-42.78,-71.47,3/27/12
S092,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,835850,29386,294773,806464,541077,267359,1972,236,35.1,0.925,-54.48,-67.45,4/12/12
S094,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1187952,35166,204684,1152786,983268,175702,6184,238,35.4,0.912,-54.48,-67.45,4/14/12
S096,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,847919,27612,133747,820307,714172,110545,4410,239,35.6,0.896,-44.83,-71.73,3/23/12
S097,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2980665,397027,827541,2583638,2153124,533273,102759,242,36.4,0.696,2.98,102.31,8/28/12
S098,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,12018137,1273865,2954746,10744272,9063391,2091199,410318,244,36.6,0.677,6.42,80.42,10/18/12
S099,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,938852,38866,179968,899986,758884,146406,5304,237,35.3,0.903,6.42,80.42,10/19/12
FO1_FO78,Boreal biome,-,Independent_Soil,ENA_PRJEB24121,10749815,253415,929740,10496400,9820075,766743,90418,149,38.7,0.169,58.12,27.03,7/24/11
FO2_FO79,Boreal biome,-,Independent_Soil,ENA_PRJEB24122,10301679,279793,1585611,10021886,8716068,1361460,55642,148,38.3,0.217,58.28,27.33,8/10/11
FO3_FO80,Boreal biome,-,Independent_Soil,ENA_PRJEB24123,9790039,274423,1395068,9515616,8394971,1178500,57855,149,38.4,0.212,58.28,26.37,8/20/11
FO4_FO81,Boreal biome,-,Independent_Soil,ENA_PRJEB24124,9399222,257253,1309050,9141969,8090172,1105602,53805,149,38.4,0.2025,58.05,24.71,8/30/11
FO5_FO82,Boreal biome,-,Independent_Soil,ENA_PRJEB24125,8928866,246406,1357543,8682460,7571323,1160702,49565,148,38.3,0.2155,58.34,26.56,9/15/11
FO6_FO83,Boreal biome,-,Independent_Soil,ENA_PRJEB24126,10750465,319226,1569468,10431239,9180997,1312795,62553,148,38.3,0.213,58.33,21.90,7/2/13
FO7_FO84,Boreal biome,-,Independent_Soil,ENA_PRJEB24127,9051565,292941,1403541,8758624,7648024,1165183,54583,148,38.3,0.2155,58.02,22.17,6/29/12
FO8_FO85,Boreal biome,-,Independent_Soil,ENA_PRJEB24128,11125877,631534,1542893,10494343,9582984,1114298,202939,148,37.0,0.346,58.30,22.10,7/1/12
FO9_FO86,Boreal biome,-,Independent_Soil,ENA_PRJEB24129,10995966,617682,1587111,10378284,9408855,1162430,193001,148,37.0,0.347,58.23,22.44,7/4/12
FO10_FO87,Boreal biome,-,Independent_Soil,ENA_PRJEB24130,10581026,610931,1514010,9970095,9067016,1094326,191247,148,37.0,0.347,58.58,23.57,7/17/12
FO11_FO88,Boreal biome,-,Independent_Soil,ENA_PRJEB24131,9526531,540685,1328574,8985846,8197957,961847,173958,148,37.0,0.3505,58.62,24.10,7/18/12
FO12_FO89,Boreal biome,-,Independent_Soil,ENA_PRJEB24132,11140538,226925,3540576,10913613,7599962,3331168,17517,149,38.8,0.1575,58.08,26.34,9/11/12
FO13_FO90,Boreal biome,-,Independent_Soil,ENA_PRJEB24133,9052339,523245,1198071,8529094,7854268,854783,179957,148,37.0,0.3495,58.89,23.68,9/25/12
FO14_FO91,Boreal biome,-,Independent_Soil,ENA_PRJEB24134,9076295,507170,1279256,8569125,7797039,930723,158637,148,37.0,0.346,58.93,23.86,9/26/12
FO15_FO92,Boreal biome,-,Independent_Soil,ENA_PRJEB24135,8960440,504852,1272747,8455588,7687693,927509,159614,148,37.0,0.3525,59.42,24.67,10/24/12
FO16_FO93,Boreal biome,-,Independent_Soil,ENA_PRJEB24136,10615968,238274,2878750,10377694,7737218,2664980,24504,149,38.7,0.1695,59.49,25.36,6/15/13
FO17_FO94,Boreal biome,-,Independent_Soil,ENA_PRJEB24137,12423197,243781,4119057,12179416,8304140,3893836,18560,149,38.8,0.1565,58.36,22.48,7/3/13
FO18_FO95,Boreal biome,-,Independent_Soil,ENA_PRJEB24138,8328431,187830,2264511,8140601,6063920,2094846,18165,149,38.7,0.1745,58.30,21.94,7/4/13
FO19_FO96,Boreal biome,-,Independent_Soil,ENA_PRJEB24139,9961213,219702,2444911,9741511,7516302,2248076,22867,149,38.7,0.168,58.28,22.46,7/4/13
FO20_FO97,Boreal biome,-,Independent_Soil,ENA_PRJEB24140,10988909,243192,2726329,10745717,8262580,2507658,24521,149,38.7,0.168,58.35,25.55,9/18/13
FO21_FO98,Boreal biome,-,Independent_Soil,ENA_PRJEB24141,9844000,224944,2598430,9619056,7245570,2396580,23094,149,38.7,0.172,58.47,22.82,9/19/13
FO22_FO99,Boreal biome,-,Independent_Soil,ENA_PRJEB24142,8775807,196916,2290581,8578891,6485226,2112190,18525,149,38.7,0.1705,58.30,22.58,9/8/13
FO23_FO100,Boreal biome,-,Independent_Soil,ENA_PRJEB24143,11310486,238689,2966592,11071797,8343894,2752032,24129,149,38.7,0.17,59.43,27.52,8/16/14
FO24_FO101,Boreal biome,-,Independent_Soil,ENA_PRJEB24144,9833044,227558,682084,9605486,9150960,544278,89752,149,38.7,0.1675,59.43,27.51,8/16/14
FO25_FO102,Boreal biome,-,Independent_Soil,ENA_PRJEB24145,9893660,222332,713593,9671328,9180067,575886,84625,149,38.7,0.1685,58.04,26.57,9/12/14
FO26_FO103,Boreal biome,-,Independent_Soil,ENA_PRJEB24146,9248987,218596,705386,9030391,8543601,568206,81416,149,38.7,0.174,58.32,26.55,9/20/14
FO27_FO104,Boreal biome,-,Independent_Soil,ENA_PRJEB24147,9925316,233896,716393,9691420,9208923,575565,93068,149,38.7,0.172,58.36,26.67,9/20/14
FO28_FO105,Boreal biome,-,Independent_Soil,ENA_PRJEB24148,9288686,211192,614304,9077494,8674382,487704,84592,149,38.7,0.1685,57.18,24.84,9/23/14
FO29_FO106,Boreal biome,-,Independent_Soil,ENA_PRJEB24149,10569666,251502,745443,10318164,9824223,593197,99256,149,38.7,0.1685,57.24,22.64,9/24/14
FO30_FO107,Boreal biome,-,Independent_Soil,ENA_PRJEB24150,8826417,203026,645873,8623391,8180544,519568,76721,149,38.7,0.1705,57.29,22.72,9/24/14
FO31_FO108,Boreal biome,-,Independent_Soil,ENA_PRJEB24151,9409733,210375,659193,9199358,8750540,532152,83334,149,38.7,0.169,57.63,22.29,9/25/14
FO32_FO109,Boreal biome,-,Independent_Soil,ENA_PRJEB24152,9072928,241805,519703,8831123,8553225,394370,116472,149,38.6,0.1765,58.43,23.30,9/27/14
FO33_FO110,Boreal biome,-,Independent_Soil,ENA_PRJEB24153,9397006,242727,532345,9154279,8864661,407647,118029,149,38.6,0.177,58.53,23.11,9/27/14
FO34_FO111,Boreal biome,-,Independent_Soil,ENA_PRJEB24154,8083153,219867,522221,7863286,7560932,401153,98799,149,38.5,0.182,57.74,27.06,10/11/14
FO35_FO112,Boreal biome,-,Independent_Soil,ENA_PRJEB24155,8547084,230583,531979,8316501,8015105,409408,108012,149,38.5,0.182,58.47,26.73,10/20/14
FO36_FO113,Boreal biome,-,Independent_Soil,ENA_PRJEB24156,8606279,222751,469198,8383528,8137081,355827,109380,149,38.6,0.1765,58.73,26.53,4/30/15
FO37_FO114,Boreal biome,-,Independent_Soil,ENA_PRJEB24157,9796102,264863,559364,9531239,9236738,425614,131113,149,38.5,0.178,57.68,26.20,5/1/15
FO38_FO115,Boreal biome,-,Independent_Soil,ENA_PRJEB24158,8295786,214404,497072,8081382,7798714,381900,99232,149,38.6,0.1765,57.70,26.24,5/1/15
FO39_FO116,Boreal biome,-,Independent_Soil,ENA_PRJEB24159,9574125,252678,587171,9321447,8986954,451723,117230,149,38.5,0.181,59.41,27.97,5/4/15
FO40_FO117,Boreal biome,-,Independent_Soil,ENA_PRJEB24160,9886269,234866,2726286,9651403,7159983,2516506,25086,149,38.7,0.1735,59.39,27.88,5/4/15
FO41_FO118,Boreal biome,-,Independent_Soil,ENA_PRJEB24161,8809975,203768,2611743,8606207,6198232,2427753,19778,149,38.7,0.174,58.58,22.84,5/9/15
FO42_FO119,Boreal biome,-,Independent_Soil,ENA_PRJEB24162,8730566,195765,2255323,8534801,6475243,2080162,20604,149,38.7,0.169,58.32,25.52,5/31/15
FO43_FO120,Boreal biome,-,Independent_Soil,ENA_PRJEB24163,9872579,215773,2385649,9656806,7486930,2194379,24503,149,38.7,0.165,58.32,25.50,5/31/15
FO44_FO121,Boreal biome,-,Independent_Soil,ENA_PRJEB24164,9602238,211699,2158015,9390539,7444223,1970641,24325,149,38.7,0.162,57.84,27.20,6/14/15
FO45_FO122,Boreal biome,-,Independent_Soil,ENA_PRJEB24165,9988853,238390,2349652,9750463,7639201,2138796,27534,149,38.7,0.164,59.51,24.82,6/22/15
FO46_FO123,Boreal biome,-,Independent_Soil,ENA_PRJEB24166,8714858,192643,2395132,8522215,6319726,2221410,18921,149,38.7,0.1735,59.38,24.04,6/26/15
FO47_FO124,Boreal biome,-,Independent_Soil,ENA_PRJEB24167,10323457,235541,2815311,10087916,7508146,2604017,24247,149,38.7,0.1715,59.17,27.80,7/4/15
FO48_FO125,Boreal biome,-,Independent_Soil,ENA_PRJEB24168,10284650,259225,754968,10025425,9529682,593407,97664,149,38.6,0.176,57.59,26.65,7/5/15
FO49_FO126,Boreal biome,-,Independent_Soil,ENA_PRJEB24169,9610133,238426,778708,9371707,8831425,624738,84456,149,38.6,0.182,58.48,25.46,7/9/15
FO50_FO127,Boreal biome,-,Independent_Soil,ENA_PRJEB24170,9658913,232774,701678,9426139,8957235,556639,87735,149,38.6,0.1765,58.82,23.07,7/21/15
FO51_FO128,Boreal biome,-,Independent_Soil,ENA_PRJEB24171,9885189,245136,758461,9640053,9126728,607596,94271,149,38.6,0.183,58.76,22.80,7/22/15
FO52_FO129,Boreal biome,-,Independent_Soil,ENA_PRJEB24172,8925466,222920,577129,8702546,8348337,441364,87155,149,38.7,0.172,58.93,22.39,7/23/15
FO53_FO130,Boreal biome,-,Independent_Soil,ENA_PRJEB24173,11514511,289332,836491,11225179,10678020,661966,114807,149,38.6,0.179,58.80,23.01,7/25/15
FO54_FO131,Boreal biome,-,Independent_Soil,ENA_PRJEB24174,10510747,257361,745497,10253386,9765250,582587,94451,149,38.6,0.174,58.72,25.06,7/26/15
FO55_FO132,Boreal biome,-,Independent_Soil,ENA_PRJEB24175,9206190,222916,708733,8983274,8497457,571563,85746,149,38.6,0.1835,57.76,27.48,8/16/15
FO56_FO133,Boreal biome,-,Independent_Soil,ENA_PRJEB24176,10177429,245413,829150,9932016,9348279,669661,85924,149,38.7,0.1695,57.85,27.20,8/16/15
FO57_FO134,Boreal biome,-,Independent_Soil,ENA_PRJEB24177,10941799,268069,1092451,10673730,9849348,905764,81382,149,38.6,0.179,58.62,24.04,8/17/15
FO58_FO135,Boreal biome,-,Independent_Soil,ENA_PRJEB24178,9941616,238386,854004,9703230,9087612,695327,79709,149,38.7,0.1735,58.59,23.58,8/21/15
FO59_FO136,Boreal biome,-,Independent_Soil,ENA_PRJEB24179,10434031,246759,814937,10187272,9619094,655652,87474,149,38.7,0.169,59.51,26.57,8/27/15
FO60_FO137,Boreal biome,-,Independent_Soil,ENA_PRJEB24180,10193399,242713,822813,9950686,9370586,665311,85211,149,38.7,0.17,58.12,25.55,3/25/16
FO61_FO138,Boreal biome,-,Independent_Soil,ENA_PRJEB24181,11592917,274801,876196,11318116,10716721,704100,102705,149,38.7,0.1675,58.58,26.44,9/30/15
FO62_FO139,Boreal biome,-,Independent_Soil,ENA_PRJEB24182,10609604,250894,854485,10358710,9755119,687367,83776,149,38.7,0.1675,57.44,27.30,10/6/15
FO63_FO140,Boreal biome,-,Independent_Soil,ENA_PRJEB24183,9696802,222660,785450,9474142,8911352,640719,77929,149,38.7,0.1675,57.63,26.96,10/6/15
FO64_FO141,Boreal biome,-,Independent_Soil,ENA_PRJEB24184,10911496,263258,810326,10648238,10101170,648258,101190,149,38.7,0.1715,58.29,26.55,10/8/15
FO65_FO142,Boreal biome,-,Independent_Soil,ENA_PRJEB24185,9805138,234175,720589,9570963,9084549,576868,90454,149,38.6,0.175,59.18,25.23,10/9/15
FO66_FO143,Boreal biome,-,Independent_Soil,ENA_PRJEB24186,9591494,230077,793293,9361417,8798201,644815,81599,149,38.6,0.1775,59.18,25.22,10/9/15
FO67_FO144,Boreal biome,-,Independent_Soil,ENA_PRJEB24187,10428570,251624,824213,10176946,9604357,666308,93719,149,38.6,0.1755,57.90,26.28,10/13/15
FO68_FO145,Boreal biome,-,Independent_Soil,ENA_PRJEB24188,9519081,225939,713831,9293142,8805250,574483,86591,149,38.6,0.1765,58.18,26.86,10/25/15
FO69_FO146,Boreal biome,-,Independent_Soil,ENA_PRJEB24189,10109813,246920,709237,9862893,9400576,561021,98704,149,38.7,0.172,59.06,24.67,11/22/15
FO70_FO147,Boreal biome,-,Independent_Soil,ENA_PRJEB24190,9337590,222591,714202,9114999,8623388,574373,82762,149,38.7,0.172,59.55,24.81,12/25/15
FO71_FO148,Boreal biome,-,Independent_Soil,ENA_PRJEB24191,9046682,209783,681983,8836899,8364699,552612,80412,149,38.6,0.1755,58.08,26.01,3/25/16
FO72_FO149,Boreal biome,-,Independent_Soil,ENA_PRJEB24192,8611502,513558,935056,8097944,7676446,626386,204888,147,36.9,0.362,59.29,24.91,4/9/16
FO73_FO150,Boreal biome,-,Independent_Soil,ENA_PRJEB24193,8325917,503249,983352,7822668,7342565,674102,193999,147,36.8,0.375,58.71,26.44,4/16/16
FO74_FO151,Boreal biome,-,Independent_Soil,ENA_PRJEB24194,8199987,527061,1033742,7672926,7166245,702569,195888,147,36.7,0.384,59.19,23.83,5/8/16
FO232_FO155,Boreal biome,-,Independent_Soil,ENA_PRJEB24195,10313975,511634,1337314,9802341,8976661,981928,156248,148,37.4,0.2925,58.39,26.89,5/22/16
FO233_FO156,Boreal biome,-,Independent_Soil,ENA_PRJEB24196,9992686,474659,1364428,9518027,8628258,1027378,137609,148,37.3,0.296,59.58,25.95,6/21/16
FO234_FO157,Boreal biome,-,Independent_Soil,ENA_PRJEB24197,8924500,444673,1188835,8479827,7735665,877882,133720,148,37.4,0.2945,59.58,25.63,6/21/16
FO235_FO158,Boreal biome,-,Independent_Soil,ENA_PRJEB24198,10362996,203872,3347543,10159124,7015453,3159049,15378,149,38.8,0.1445,58.26,21.91,7/4/16
FO236_FO159,Boreal biome,-,Independent_Soil,ENA_PRJEB24199,8711818,433050,1165028,8278768,7546790,864193,132215,148,37.3,0.302,59.62,24.99,7/6/16
FO237_FO160,Boreal biome,-,Independent_Soil,ENA_PRJEB24200,9326655,453953,1116507,8872702,8210148,813429,150875,148,37.4,0.2885,59.62,24.99,7/6/16
FO238_FO161,Boreal biome,-,Independent_Soil,ENA_PRJEB24201,9677139,456717,1231145,9220422,8445994,913974,139546,148,37.4,0.287,59.62,25.00,7/6/16
FO239_FO162,Boreal biome,-,Independent_Soil,ENA_PRJEB24202,8933695,450893,1232542,8482802,7701153,917945,136296,148,37.3,0.3035,58.37,26.81,7/12/16
FO240_FO163,Boreal biome,-,Independent_Soil,ENA_PRJEB24203,9921962,208657,2297206,9713305,7624756,2111314,22765,149,38.8,0.148,58.34,25.46,7/19/16
FO241_FO164,Boreal biome,-,Independent_Soil,ENA_PRJEB24204,11684563,248492,3164819,11436071,8519744,2940369,24042,149,38.8,0.1525,58.36,26.64,7/23/16
FO242_FO165,Boreal biome,-,Independent_Soil,ENA_PRJEB24205,11500544,237935,3508595,11262609,7991949,3288450,17790,149,38.8,0.148,58.67,23.70,8/18/16
FO243_FO166,Boreal biome,-,Independent_Soil,ENA_PRJEB24206,10977896,232892,2481631,10745004,8496265,2273499,24760,149,38.8,0.149,58.05,25.39,8/29/16
FO244_FO167,Boreal biome,-,Independent_Soil,ENA_PRJEB24207,12290013,264163,2694111,12025850,9595902,2458430,28482,149,38.8,0.146,58.14,25.26,8/29/16
FO245_FO168,Boreal biome,-,Independent_Soil,ENA_PRJEB24208,10726124,224382,2313483,10501742,8412641,2115417,26316,149,38.8,0.1465,57.59,26.32,8/31/16
FO246_FO169,Boreal biome,-,Independent_Soil,ENA_PRJEB24209,11604007,250690,2800301,11353317,8803706,2576048,26437,149,38.8,0.147,58.35,26.66,9/3/16
FO247_FO170,Boreal biome,-,Independent_Soil,ENA_PRJEB24210,9400222,190425,2229502,9209797,7170720,2059857,20780,149,38.8,0.149,59.31,26.46,9/9/16
FO248_FO171,Boreal biome,-,Independent_Soil,ENA_PRJEB24211,8697692,210238,666985,8487454,8030707,535803,79056,149,38.7,0.159,59.32,26.58,9/9/16
FO249_FO172,Boreal biome,-,Independent_Soil,ENA_PRJEB24212,11440536,255756,790222,11184780,10650314,635920,101454,149,38.8,0.1515,59.31,26.14,9/9/16
FO250_FO173,Boreal biome,-,Independent_Soil,ENA_PRJEB24213,10799062,251994,760499,10547068,10038563,608265,99760,149,38.8,0.154,58.53,26.71,9/11/16
FO251_FO174,Boreal biome,-,Independent_Soil,ENA_PRJEB24214,10262245,230578,624001,10031667,9638244,493543,100120,149,38.8,0.15,58.28,25.58,9/16/16
FO252_FO175,Boreal biome,-,Independent_Soil,ENA_PRJEB24215,9471706,222711,651153,9248995,8820553,516609,88167,149,38.7,0.157,58.98,25.59,9/18/16
FO253_FO176,Boreal biome,-,Independent_Soil,ENA_PRJEB24216,9768028,233276,644406,9534752,9123622,506350,95220,149,38.7,0.155,59.27,24.55,9/22/16
FO254_FO177,Boreal biome,-,Independent_Soil,ENA_PRJEB24217,8477293,234374,773364,8242919,7703929,612527,73537,149,38.7,0.16,59.07,24.48,9/22/16
FO255_FO178,Boreal biome,-,Independent_Soil,ENA_PRJEB24218,8524047,228479,1067421,8295568,7456626,891416,52474,149,38.5,0.184,59.01,24.57,9/22/16
FO256_FO179,Boreal biome,-,Independent_Soil,ENA_PRJEB24219,10281916,230799,665500,10051117,9616416,527255,92554,149,38.8,0.152,58.96,24.30,9/22/16
FO257_FO180,Boreal biome,-,Independent_Soil,ENA_PRJEB24220,9616346,217178,667043,9399168,8949303,537809,87944,149,38.7,0.158,59.34,23.92,9/23/16
FO258_FO181,Boreal biome,-,Independent_Soil,ENA_PRJEB24221,9935198,276496,546924,9658702,9388274,408138,137710,149,38.6,0.166,59.33,23.93,9/23/16
FO259_FO182,Boreal biome,-,Independent_Soil,ENA_PRJEB24222,7919419,213739,432320,7705680,7487099,326306,107725,149,38.6,0.1685,59.38,24.04,9/23/16
FO260_FO183,Boreal biome,-,Independent_Soil,ENA_PRJEB24223,9860799,239858,767336,9620941,9093463,616430,88952,149,38.8,0.156,59.26,24.14,9/23/16
FO261_FO184,Boreal biome,-,Independent_Soil,ENA_PRJEB24224,7041983,195881,418155,6846102,6623828,315199,92925,149,38.6,0.169,58.92,23.55,9/24/16
FO262_FO185,Boreal biome,-,Independent_Soil,ENA_PRJEB24225,9742221,257557,514371,9484664,9227850,388421,131607,149,38.6,0.1615,58.79,23.53,9/24/16
FO263_FO186,Boreal biome,-,Independent_Soil,ENA_PRJEB24226,7221387,191542,346529,7029845,6874858,252885,97898,149,38.7,0.162,59.00,23.74,9/24/16
FO264_FO187,Boreal biome,-,Independent_Soil,ENA_PRJEB24227,9693255,274896,524449,9418359,9168806,390144,140591,149,38.6,0.167,59.23,24.01,9/25/16
FO265_FO188,Boreal biome,-,Independent_Soil,ENA_PRJEB24228,8171254,215757,437707,7955497,7733547,329785,107835,149,38.6,0.1645,59.43,24.55,9/25/16
FO266_FO189,Boreal biome,-,Independent_Soil,ENA_PRJEB24229,9419935,244949,483407,9174986,8936528,363472,125014,149,38.6,0.1625,59.47,25.28,9/25/16
FO267_FO190,Boreal biome,-,Independent_Soil,ENA_PRJEB24230,9350131,204384,2146594,9145747,7203537,1964756,22546,149,38.8,0.15,59.47,25.30,9/25/16
FO268_FO191,Boreal biome,-,Independent_Soil,ENA_PRJEB24231,10342982,218183,2554524,10124799,7788458,2360009,23668,149,38.8,0.149,57.91,26.27,9/29/16
FO269_FO192,Boreal biome,-,Independent_Soil,ENA_PRJEB24232,11246296,241272,2672307,11005024,8573989,2457051,26016,149,38.8,0.15,57.92,26.52,9/29/16
FO270_FO193,Boreal biome,-,Independent_Soil,ENA_PRJEB24233,9267438,193787,2073400,9073651,7194038,1902289,22676,149,38.8,0.148,58.75,26.50,10/7/16
FO271_FO194,Boreal biome,-,Independent_Soil,ENA_PRJEB24234,9809976,209821,2132302,9600155,7677674,1946947,24466,149,38.8,0.1485,58.76,26.51,10/7/16
FO272_FO195,Boreal biome,-,Independent_Soil,ENA_PRJEB24235,9977608,215048,2045242,9762560,7932366,1857770,27576,149,38.8,0.1445,58.44,25.51,10/12/16
FO273_FO196,Boreal biome,-,Independent_Soil,ENA_PRJEB24236,9697001,201183,2286944,9495818,7410057,2108183,22422,149,38.8,0.146,58.41,25.29,10/12/16
FO274_FO197,Boreal biome,-,Independent_Soil,ENA_PRJEB24237,10289279,224141,2485742,10065138,7803537,2285899,24298,149,38.8,0.151,58.42,25.23,10/12/16
FO275_FO198,Boreal biome,-,Independent_Soil,ENA_PRJEB24238,9522873,229452,607837,9293421,8915036,471943,93558,149,38.7,0.157,58.06,26.34,10/14/16
FO276_FO199,Boreal biome,-,Independent_Soil,ENA_PRJEB24239,9669941,213818,566787,9456123,9103154,444339,91370,149,38.8,0.154,58.14,25.92,10/14/16
FO277_FO200,Boreal biome,-,Independent_Soil,ENA_PRJEB24240,9003538,213163,602167,8790375,8401371,475782,86778,149,38.7,0.1605,58.14,25.93,10/14/16
FO278_FO201,Boreal biome,-,Independent_Soil,ENA_PRJEB24241,9253203,213389,559597,9039814,8693606,438974,92766,149,38.7,0.157,58.11,26.18,10/14/16
FO279_FO202,Boreal biome,-,Independent_Soil,ENA_PRJEB24242,9997167,231090,559224,9766077,9437943,430748,102614,149,38.8,0.1545,58.13,26.18,10/14/16
FO280_FO203,Boreal biome,-,Independent_Soil,ENA_PRJEB24243,8344514,202991,465722,8141523,7878792,351946,89215,149,38.8,0.152,58.33,25.51,10/21/16
FO281_FO204,Boreal biome,-,Independent_Soil,ENA_PRJEB24244,11402156,272954,739400,11129202,10662756,572678,106232,149,38.7,0.1545,57.69,27.38,10/29/16
FO282_FO205,Boreal biome,-,Independent_Soil,ENA_PRJEB24245,9528980,210621,551636,9318359,8977344,434172,93157,149,38.8,0.1555,58.16,22.50,5/17/12
FO283_FO206,Boreal biome,-,Independent_Soil,ENA_PRJEB24246,10087549,229573,709719,9857976,9377830,567780,87634,149,38.8,0.15,58.14,25.54,7/2/13
FO284_FO207,Boreal biome,-,Independent_Soil,ENA_PRJEB24247,10233419,233426,840993,9999993,9392426,687376,79809,149,38.8,0.151,57.88,27.69,9/29/13
FO285_FO208,Boreal biome,-,Independent_Soil,ENA_PRJEB24248,9386459,210846,646176,9175613,8740283,515769,80439,149,38.8,0.149,59.40,24.73,7/6/14
FO286_FO209,Boreal biome,-,Independent_Soil,ENA_PRJEB24249,9584842,210546,635616,9374296,8949226,508777,83707,149,38.8,0.15,58.04,27.05,8/21/14
FO287_FO210,Boreal biome,-,Independent_Soil,ENA_PRJEB24250,9202103,207792,611044,8994311,8591059,483722,80470,149,38.8,0.151,58.80,23.00,8/2/14
FO288_FO211,Boreal biome,-,Independent_Soil,ENA_PRJEB24251,10105628,226134,626592,9879494,9479036,494967,94509,149,38.8,0.147,58.45,26.75,10/20/14
FO289_FO212,Boreal biome,-,Independent_Soil,ENA_PRJEB24252,11238100,248355,781515,10989745,10456585,624770,91610,149,38.8,0.148,58.28,26.99,10/29/14
FO290_FO213,Boreal biome,-,Independent_Soil,ENA_PRJEB24253,9685817,211386,644970,9474431,9040847,516120,82536,149,38.8,0.15,58.33,26.82,10/29/14
FO291_FO214,Boreal biome,-,Independent_Soil,ENA_PRJEB24254,8713119,204305,571180,8508814,8141939,449972,83097,149,38.8,0.156,58.72,22.52,7/22/15
FO292_FO215,Boreal biome,-,Independent_Soil,ENA_PRJEB24255,7781932,194348,450959,7587584,7330973,334910,78299,149,38.8,0.149,59.10,24.34,9/19/15
FO295_FO218,Boreal biome,-,Independent_Soil,ENA_PRJEB24256,9789425,222107,608808,9567318,9180617,481411,94710,149,38.7,0.157,58.38,26.64,7/2/14
FO296_FO219,Boreal biome,-,Independent_Soil,ENA_PRJEB24257,10006363,242086,674185,9764277,9332178,532745,100646,149,38.7,0.158,58.33,26.93,7/4/14
