0.915872	0.895948	0.865301	0.923952	0.878885	0.862861	0.879161	0.858564	0.702125	0.754729	0.776736
0.762458	0.637014	0.624819	0.694513	0.572736	0.545274	0.629494	0.459514	0.327630	0.245291	0.349270
0.264137	0.193906	0.168141	0.216249	0.191360	0.204952	0.253442	0.198310	0.215205	0.160498	0.226642
0.205882	0.211491	0.331738	-0.035675	-0.379159	-0.423464	-0.421801	-0.431772	-0.430141	-0.410707	-0.450365
-0.352597	-0.348683	-0.405276	-0.471258	-0.370383	-0.306117	-0.356200	-0.342957	-0.172735	-0.253575	-0.329221
-0.194363	-0.167239	-0.091590	-0.152090	-0.127509	-0.033899	0.015204	0.020481	-0.000367	0.007125	0.024066
-0.000242	-0.032440	-0.027266	0.022600	-0.049613	-0.114115	-0.011219	-0.352506	-0.474912	-0.448385	-0.473653
-0.463638	-0.450301	-0.448984	-0.457370	-0.396007	-0.355026	-0.363742	-0.328391	-0.311056	-0.323002	-0.302849
-0.313061	-0.362358	-0.332667	-0.263556	-0.165534	-0.142979	-0.164044	-0.200168	-0.088644	-0.146906	-0.223448
-0.245742	-0.172891	-0.264286	-0.209817	-0.190341	-0.186073	-0.185599	-0.206992	-0.172724	-0.204005	-0.207877
