,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil3_CE_239_-7_CHL_T9,0.221286,0.086162,7.265580,0.009810,0.828745,0.375043,0.117477,5.445866,1.036020,0.362502,0.028503,0.088010,0.077687,0.050312,0.000000,0.014841,0.166231,0.128638,0.043092,0.000000,0.000000,0.000000,0.000000,0.003384,2.755376,0.000000,0.185295,0.348840,0.018107,0.001477,0.000000,17.054572,0.001336,0.000000,0.000000,0.272785,0.766663,0.051426,0.059566,0.193050
Soil3_CE_239_0_CHL_T9,0.110890,0.074579,6.193055,0.026171,0.527248,0.235274,0.055841,4.951247,0.655148,0.252824,0.012336,0.056982,0.043117,0.020986,0.000000,0.000000,0.096876,0.109962,0.018266,0.019458,0.000000,0.002345,0.000000,0.000000,1.468917,0.000000,0.162176,0.276207,0.016389,0.001103,0.000000,12.173988,0.000766,0.000000,0.000000,0.233911,0.398411,0.026775,0.024042,0.108114
Soil3_CE_239_9_CHL_T9,0.056012,0.025915,3.568653,0.003796,0.152705,0.058903,0.017537,3.473177,0.330827,0.089088,0.004411,0.013310,0.020495,0.020677,0.000000,0.000000,0.064051,0.048555,0.008409,0.006724,0.006724,0.002498,0.000000,0.000000,0.573401,0.000000,0.096343,0.091284,0.007934,0.001089,0.000356,4.557851,0.000000,0.000000,0.000000,0.126918,0.147215,0.011498,0.006331,0.033769
Soil5_CE_201_-12_CHL_T9,0.596124,0.131652,6.584894,0.000000,0.591534,0.862708,0.158179,5.434567,1.306719,0.513018,0.046644,0.073089,0.118618,0.005738,0.032298,0.001984,0.206545,0.330442,0.072745,0.000000,0.000000,0.000000,0.000000,0.004164,4.658573,0.000000,0.224465,0.129849,0.080664,0.000000,0.000000,19.098206,0.000000,0.000000,0.000000,0.314293,1.269567,0.064269,0.127209,0.351854
Soil5_CE_201_-15_CHL_T9,0.704298,0.165517,9.007621,0.040086,0.743684,1.030344,0.237252,7.588002,1.784166,0.721124,0.075277,0.139298,0.180829,0.016314,0.016780,0.000000,0.167288,0.520975,0.235248,0.069917,0.018132,0.000000,0.000000,0.014310,6.126993,0.000000,0.257947,0.157080,0.166169,0.000000,0.000000,25.433019,0.004195,0.000000,0.000000,0.413443,1.378764,0.076210,0.146290,0.487438
Soil5_CE_201_-19_CHL_T9,0.702451,0.185780,8.960735,0.007583,0.893811,1.207381,0.218044,8.612659,2.328478,0.757172,0.074730,0.159250,0.179310,0.023620,0.007360,0.003149,0.201219,0.494335,0.089792,0.039761,0.017116,0.000000,0.000000,0.008678,6.233774,0.000000,0.264104,0.397611,0.090716,0.000000,0.000000,27.010013,0.004553,0.000000,0.000000,0.421231,1.637255,0.107319,0.107285,0.404628
Soil5_CE_201_-23_CHL_T9,0.836740,0.133624,9.968304,0.000000,1.035627,1.158889,0.229986,8.936120,2.520675,0.824901,0.051931,0.165320,0.188982,0.022640,0.008018,0.015722,0.288976,0.494497,0.107823,0.000000,0.008349,0.000000,0.000000,0.000000,6.698934,0.000000,0.323785,0.315546,0.085372,0.008694,0.000000,29.396060,0.004245,0.000000,0.000000,0.476700,1.748978,0.128137,0.062166,0.440334
Soil5_CE_201_-28_CHL_T9,0.679540,0.147985,9.946343,0.080552,0.837146,1.064893,0.256341,8.793531,2.267527,0.807155,0.032816,0.110526,0.155201,0.033472,0.007233,0.033641,0.240900,0.558484,0.156933,0.016820,0.026795,0.000000,0.000000,0.000000,6.442828,0.000000,0.275903,0.243692,0.046424,0.003515,0.000000,28.420659,0.003028,0.000000,0.000000,0.504104,1.857347,0.120097,0.070898,0.439464
Soil5_CE_201_-35_CHL_T9,0.753646,0.135891,9.140379,0.046971,0.834046,1.030904,0.208184,8.462925,2.071972,0.781345,0.079812,0.110957,0.160198,0.039532,0.000000,0.009496,0.203363,0.520434,0.133474,0.040066,0.013355,0.000000,0.000000,0.000000,6.422085,0.000000,0.234695,0.218762,0.058897,0.005583,0.000000,28.466732,0.000000,0.000000,0.000000,0.480795,1.807308,0.096960,0.070904,0.405430
Soil5_CE_201_-55_CHL_T9,0.716432,0.117029,8.185806,0.001150,0.940374,1.019773,0.271045,7.273452,1.842627,0.632373,0.039424,0.055763,0.190129,0.007357,0.000000,0.030656,0.220325,0.479353,0.110822,0.031116,0.000000,0.000000,0.000000,0.000000,6.073130,0.000000,0.196153,0.196199,0.048437,0.000000,0.004077,25.629323,0.001380,0.000000,0.000000,0.467964,1.783676,0.113121,0.092351,0.392566
Soil5_CE_201_-5_CHL_T9,0.511936,0.144093,8.123625,0.021962,0.679507,0.838293,0.191575,6.434586,1.672194,0.577976,0.014209,0.074298,0.164276,0.014934,0.000000,0.000000,0.189313,0.320822,0.072080,0.000000,0.010520,0.000000,0.000000,0.000000,4.598269,0.000000,0.163881,0.085213,0.034261,0.002284,0.000000,18.097336,0.000000,0.000000,0.000000,0.354688,1.206729,0.082138,0.138515,0.368348
Soil5_CE_201_-9_CHL_T9,0.653716,0.123666,8.640032,0.102526,0.766551,0.721417,0.243451,7.434475,1.748118,0.803975,0.047499,0.073297,0.171833,0.026358,0.000000,0.000000,0.181672,0.314889,0.107202,0.000000,0.000000,0.000000,0.000000,0.006680,5.399108,0.000000,0.252622,0.137748,0.091531,0.009388,0.000000,21.985178,0.003502,0.000000,0.000000,0.331823,1.382752,0.082685,0.137586,0.458775
Soil5_CE_201_0_CHL_T9,0.377680,0.135865,8.079266,0.028667,0.727866,0.708044,0.112292,6.661718,1.434172,0.505669,0.016912,0.062876,0.096860,0.009165,0.009165,0.000000,0.199881,0.231926,0.063110,0.000000,0.008462,0.000000,0.000000,0.004934,3.794461,0.000000,0.265357,0.155079,0.055522,0.004465,0.001226,16.844377,0.000959,0.000000,0.000000,0.427661,0.923761,0.086321,0.081067,0.262351
