,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil16_CE_251_N6_18_None_T9,nan,1.076,84.540,43.872,nan,nan,110.578,93.103,128.137,36.991,59.205,66.085,11.436,nan,1.197,3.860,2.695,99.752,36.627,24.523,1.876,32.949,30.872,29.032,71.488,nan,19.833,24.800,nan,30.814,28.329,33.704,4.820,nan,nan,nan,25.300,nan,12.789,59.674
Soil16_CE_251_N6_22_None_T9,nan,0.685,83.373,48.870,nan,nan,9.811,86.385,117.686,22.514,66.453,72.432,5.749,nan,0.132,1.343,0.343,81.097,43.110,37.441,2.253,46.336,49.927,46.089,41.575,nan,9.226,37.608,nan,38.915,41.250,51.260,1.619,nan,nan,nan,13.492,nan,7.308,35.654
Soil16_CE_251_N6_28_None_T9,nan,0.978,124.124,73.040,nan,nan,6.209,144.342,159.675,26.628,119.814,127.163,6.410,nan,0.000,4.721,1.624,107.090,64.220,62.876,2.871,76.434,79.470,82.121,47.093,nan,13.765,55.217,nan,68.197,70.536,69.948,2.760,nan,nan,nan,15.873,nan,11.849,38.161
Soil16_CE_251_N6_3_None_T9,nan,2.740,125.147,27.888,nan,nan,94.205,527.592,499.182,134.003,92.459,255.760,93.842,nan,0.078,75.664,28.754,316.152,52.180,22.084,4.376,22.524,18.799,16.690,277.824,nan,125.991,18.195,nan,18.464,20.014,24.902,16.825,nan,nan,nan,135.659,nan,29.563,239.408
Soil16_CE_251_N6_6_None_T9,nan,0.796,119.230,35.567,nan,nan,75.113,512.521,496.522,141.131,107.492,256.894,70.778,nan,1.002,61.845,21.840,312.485,37.117,24.807,3.985,29.229,27.026,25.262,237.687,nan,114.126,23.466,nan,24.793,22.666,32.362,12.819,nan,nan,nan,130.281,nan,35.793,268.979
Soil16_CE_251_N6_8_None_T9,nan,0.880,117.903,38.660,nan,nan,51.309,401.079,375.247,113.844,82.119,202.988,56.811,nan,0.000,24.415,12.618,239.691,39.892,19.319,4.972,25.513,28.885,18.837,159.949,nan,50.449,23.245,nan,24.092,23.255,29.132,7.691,nan,nan,nan,100.844,nan,44.992,198.542
Soil17_CE_251_N3_-100_None_T9,nan,0.880,93.263,51.801,nan,nan,2.672,96.480,105.433,16.682,77.125,70.040,3.214,nan,0.000,0.711,0.276,93.600,53.607,40.700,2.845,50.164,59.410,50.485,44.687,nan,17.343,39.856,nan,50.823,46.391,50.334,0.000,nan,nan,nan,10.262,nan,5.616,28.177
Soil17_CE_251_N3_-40_None_T9,nan,1.369,79.830,31.327,nan,nan,7.473,101.569,104.752,33.048,40.798,61.000,16.636,nan,0.000,1.711,0.387,105.145,65.649,30.866,10.309,37.401,27.679,27.441,64.850,nan,15.354,23.124,nan,32.244,25.094,30.183,1.169,nan,nan,nan,26.803,nan,22.583,52.785
Soil17_CE_251_N3_-4_None_T9,nan,0.782,91.645,28.670,nan,nan,99.847,657.133,561.209,110.799,83.743,254.292,186.184,nan,0.000,124.051,19.260,338.770,69.098,17.863,2.418,15.911,21.854,19.200,355.897,nan,162.643,14.449,nan,18.056,16.467,19.229,21.780,nan,nan,nan,220.999,nan,23.650,186.362
Soil17_CE_251_N3_0_None_T9,nan,0.489,79.881,11.626,nan,nan,76.138,497.344,458.498,91.610,69.564,187.747,147.930,nan,0.000,92.348,17.758,271.616,53.409,12.351,4.975,13.653,14.381,10.861,277.922,nan,142.241,12.085,nan,11.715,15.199,20.101,14.035,nan,nan,nan,174.654,nan,22.040,164.115
Soil17_CE_251_N3_10_None_T9,nan,0.782,86.207,22.766,nan,nan,31.038,187.809,191.052,49.799,38.761,93.126,48.997,nan,0.000,10.036,3.822,131.758,44.068,8.179,5.105,13.508,18.799,16.153,99.711,nan,27.125,15.575,nan,15.443,19.218,14.147,2.867,nan,nan,nan,64.855,nan,16.079,87.155
Soil17_CE_251_N3_13_None_T9,nan,0.391,69.197,20.071,nan,nan,51.415,97.150,107.230,34.989,31.659,53.150,18.955,nan,0.000,10.324,1.249,96.744,31.900,22.183,5.775,17.762,13.663,16.493,73.572,nan,20.254,12.831,nan,16.232,16.345,19.957,1.169,nan,nan,nan,30.241,nan,11.220,53.238
Soil17_CE_251_N3_16_None_T9,nan,0.390,66.829,22.812,nan,nan,61.910,81.455,98.935,27.412,34.931,39.906,14.106,nan,0.093,2.657,1.527,86.765,21.549,13.077,4.839,17.811,12.167,18.669,67.635,nan,16.877,15.016,nan,17.943,11.781,19.462,3.597,nan,nan,nan,26.952,nan,8.497,48.186
Soil17_CE_251_N3_20_None_T9,nan,0.391,67.516,25.811,nan,nan,57.906,78.480,98.133,26.849,35.529,51.892,10.564,nan,0.000,0.355,1.056,82.452,32.817,21.072,0.474,19.432,27.345,23.629,58.443,nan,14.867,16.002,nan,17.361,23.246,25.534,0.719,nan,nan,nan,20.845,nan,7.201,41.541
Soil17_CE_251_N3_24_None_T9,nan,1.888,76.782,26.798,nan,nan,11.699,83.059,100.663,28.694,45.083,59.949,6.984,nan,0.000,5.587,2.254,81.495,28.426,19.590,4.644,26.938,23.324,25.604,57.908,nan,15.875,22.463,nan,28.740,18.112,25.740,2.788,nan,nan,nan,18.262,nan,8.025,44.182
Soil17_CE_251_N3_28_None_T9,nan,11.064,93.473,44.984,nan,nan,7.311,106.678,137.340,21.848,65.461,82.347,11.468,nan,0.000,4.203,1.585,71.828,30.877,20.532,0.763,30.187,27.747,24.931,51.418,nan,13.024,34.568,nan,64.432,30.312,25.604,2.698,nan,nan,nan,17.839,nan,5.107,33.691
Soil17_CE_251_N3_6_None_T9,nan,1.076,91.405,21.300,nan,nan,63.362,480.449,388.180,76.356,57.683,210.687,150.013,nan,0.000,43.727,6.493,196.858,41.081,17.113,6.636,17.384,16.355,22.344,193.584,nan,72.882,13.603,nan,19.395,16.644,16.291,7.562,nan,nan,nan,171.144,nan,17.492,134.576
Soil3_CE_239_-11_None_T9,nan,0.587,129.957,51.453,nan,nan,60.643,555.325,419.432,222.781,96.791,264.415,174.916,nan,0.000,0.000,9.808,67.889,41.965,29.589,0.000,42.472,36.219,37.176,128.017,nan,19.739,30.122,nan,39.352,38.234,40.632,0.000,nan,nan,nan,68.839,nan,18.396,245.300
Soil3_CE_239_-14_None_T9,nan,0.489,164.582,35.075,nan,nan,77.900,543.833,415.707,225.934,69.569,234.496,173.920,nan,0.000,0.000,11.962,64.806,32.448,19.928,0.000,30.533,32.010,35.622,132.414,nan,25.421,26.180,nan,29.673,27.655,31.454,0.090,nan,nan,nan,68.431,nan,19.434,234.008
Soil3_CE_239_-16_None_T9,nan,0.685,174.379,34.219,nan,nan,74.845,540.921,410.614,226.465,68.986,258.367,177.790,nan,0.000,1.000,8.513,71.479,29.846,32.403,2.000,36.116,43.193,37.336,144.127,nan,20.346,28.700,nan,32.350,34.898,32.784,0.000,nan,nan,nan,67.005,nan,17.526,240.327
Soil3_CE_239_-19_None_T9,nan,0.685,161.211,54.004,nan,nan,86.420,630.002,455.209,259.310,74.750,254.209,185.552,nan,0.000,0.000,10.374,56.682,37.906,25.650,1.443,35.683,36.650,40.770,142.227,nan,15.005,27.568,nan,34.195,25.345,34.452,0.365,nan,nan,nan,76.441,nan,14.309,272.754
Soil3_CE_239_-22_None_T9,nan,0.098,160.365,36.348,nan,nan,64.313,420.194,327.065,164.102,55.658,191.651,105.352,nan,0.000,0.000,7.957,53.390,23.354,19.513,1.000,27.487,22.953,25.649,109.402,nan,11.259,20.044,nan,22.151,22.320,33.534,0.000,nan,nan,nan,49.369,nan,9.488,162.684
Soil3_CE_239_-26_None_T9,nan,0.196,328.587,34.830,nan,nan,114.318,475.602,379.385,175.596,54.280,147.547,90.307,nan,0.000,0.000,11.353,62.234,32.896,27.662,0.665,28.693,32.979,30.436,136.134,nan,19.139,20.767,nan,22.123,24.790,41.905,0.270,nan,nan,nan,44.136,nan,7.693,139.766
Soil3_CE_239_-32_None_T9,nan,0.782,219.057,59.082,nan,nan,56.598,303.530,290.819,61.878,65.642,109.982,21.530,nan,0.000,2.000,10.159,99.352,38.383,33.103,0.000,51.989,48.708,55.206,120.183,nan,30.120,43.452,nan,43.616,44.424,54.767,0.000,nan,nan,nan,13.259,nan,1.580,48.012
Soil3_CE_239_-50_None_T9,nan,0.489,116.363,63.477,nan,nan,6.316,161.665,190.642,10.259,94.529,103.856,3.068,nan,0.000,0.000,2.708,74.486,52.420,56.977,0.000,68.802,78.632,67.859,60.282,nan,10.740,59.723,nan,62.871,51.733,58.165,0.000,nan,nan,nan,5.373,nan,0.000,8.883
Soil3_CE_239_-7_None_T9,nan,0.196,108.925,39.322,nan,nan,37.836,362.930,275.850,121.413,71.102,156.637,102.846,nan,0.000,1.000,6.240,60.821,34.257,33.114,2.015,42.123,45.120,46.156,102.895,nan,20.612,28.925,nan,43.600,38.710,35.170,0.000,nan,nan,nan,41.166,nan,10.167,147.875
Soil3_CE_239_0_None_T9,nan,0.294,119.618,69.491,nan,nan,8.457,156.487,196.462,12.057,90.130,107.045,4.081,nan,0.000,0.000,2.448,73.356,56.712,56.966,0.000,73.297,74.358,76.424,58.987,nan,18.803,56.469,nan,60.286,60.919,62.164,0.000,nan,nan,nan,3.649,nan,1.506,12.155
Soil3_CE_239_9_None_T9,nan,0.587,204.295,150.718,nan,nan,3.930,272.413,323.848,9.063,209.512,204.549,0.696,nan,0.000,0.000,1.937,128.885,120.682,118.878,1.067,156.956,130.196,171.872,42.626,nan,25.119,123.589,nan,145.846,137.532,131.752,0.000,nan,nan,nan,2.090,nan,0.000,7.406
Soil5_CE_201_-12_None_T9,nan,0.391,153.471,30.471,nan,nan,67.652,310.171,325.879,113.799,55.426,128.739,92.263,nan,0.000,9.132,10.604,62.036,40.154,22.692,0.552,34.878,30.937,31.341,155.163,nan,40.836,22.136,nan,24.764,23.425,24.550,0.696,nan,nan,nan,35.097,nan,30.159,142.830
Soil5_CE_201_-15_None_T9,nan,0.978,135.035,24.578,nan,nan,56.343,249.898,255.925,89.916,50.667,106.934,61.914,nan,0.000,10.461,5.906,47.473,22.153,27.924,2.314,27.859,24.044,21.252,140.671,nan,33.953,21.907,nan,21.830,17.877,23.330,0.568,nan,nan,nan,27.476,nan,19.207,105.870
Soil5_CE_201_-19_None_T9,nan,0.293,122.484,21.367,nan,nan,41.752,270.733,267.825,96.453,46.862,94.450,84.086,nan,0.000,1.421,4.591,46.003,19.821,21.909,0.624,16.538,16.681,22.027,102.793,nan,18.412,16.648,nan,15.967,18.504,22.093,0.180,nan,nan,nan,27.606,nan,14.834,106.832
Soil5_CE_201_-23_None_T9,nan,0.782,164.182,30.457,nan,nan,47.711,336.874,357.219,101.224,46.170,121.661,86.681,nan,0.000,4.930,7.147,55.286,27.395,15.327,1.778,26.813,24.608,18.205,136.002,nan,27.790,12.116,nan,19.665,19.105,30.478,0.360,nan,nan,nan,29.871,nan,15.169,123.215
Soil5_CE_201_-28_None_T9,nan,0.974,253.400,31.235,nan,nan,81.913,340.271,333.600,112.640,47.609,101.467,72.151,nan,0.000,0.427,7.663,75.401,26.975,23.607,1.758,28.607,26.851,19.747,118.106,nan,17.986,17.564,nan,20.146,23.126,33.379,0.360,nan,nan,nan,28.173,nan,9.781,99.597
Soil5_CE_201_-35_None_T9,nan,0.196,113.749,44.345,nan,nan,17.336,151.804,221.829,28.841,51.438,57.396,7.777,nan,0.000,1.186,3.887,66.378,36.131,17.122,1.955,29.859,35.117,37.483,73.959,nan,24.038,26.053,nan,28.268,26.735,30.360,0.540,nan,nan,nan,7.804,nan,5.134,21.353
Soil5_CE_201_-55_None_T9,nan,1.369,83.495,53.572,nan,nan,4.946,127.596,173.100,7.668,66.556,69.799,1.098,nan,0.000,1.000,1.537,63.789,32.848,46.297,0.000,58.256,51.671,47.856,63.792,nan,21.391,34.859,nan,41.314,41.763,48.110,0.000,nan,nan,nan,2.032,nan,0.000,10.412
Soil5_CE_201_-5_None_T9,nan,1.495,99.185,31.398,nan,nan,32.630,250.217,276.551,57.580,51.517,106.788,71.709,nan,0.000,1.066,8.651,58.709,37.370,25.863,3.000,35.191,31.504,27.992,94.846,nan,18.117,24.872,nan,27.237,31.292,26.090,0.090,nan,nan,nan,25.026,nan,11.924,82.660
Soil5_CE_201_-9_None_T9,nan,0.489,88.867,24.393,nan,nan,41.164,271.328,265.036,68.378,51.583,124.339,82.412,nan,0.000,0.000,8.606,51.143,21.100,14.802,0.000,25.419,23.642,22.067,92.456,nan,20.075,17.420,nan,26.432,22.461,21.280,0.270,nan,nan,nan,32.297,nan,21.454,103.711
Soil5_CE_201_0_None_T9,nan,1.369,121.507,39.805,nan,nan,15.042,160.093,213.742,32.361,62.803,73.045,14.390,nan,0.000,0.000,4.258,58.380,45.463,30.654,0.479,45.156,43.097,52.654,77.387,nan,29.807,34.236,nan,34.292,40.259,39.881,0.000,nan,nan,nan,7.060,nan,3.766,30.204
Soil5_CE_201_7_None_T9,nan,0.782,100.627,59.746,nan,nan,5.645,144.263,219.219,8.042,71.279,68.534,2.517,nan,0.000,0.000,2.555,62.076,46.217,28.407,0.000,51.519,49.966,51.510,57.083,nan,29.099,39.663,nan,41.395,44.740,45.520,0.090,nan,nan,nan,2.504,nan,1.251,9.706
Soil6_CE_73_-11_None_T9,nan,0.685,140.883,46.261,nan,nan,104.150,181.467,216.941,162.977,62.118,84.098,37.325,nan,0.000,0.000,14.974,88.446,43.199,32.734,1.624,55.597,46.266,49.487,149.666,nan,19.988,38.582,nan,39.682,35.129,43.675,0.540,nan,nan,nan,37.595,nan,80.686,227.506
Soil6_CE_73_-14_None_T9,nan,0.000,103.418,41.269,nan,nan,50.714,138.338,170.802,123.276,40.498,63.003,18.029,nan,0.000,0.000,10.579,59.883,30.052,24.225,1.000,26.671,29.452,30.763,91.137,nan,14.570,24.105,nan,26.855,28.187,29.448,0.180,nan,nan,nan,29.552,nan,43.409,160.863
Soil6_CE_73_-17_None_T9,nan,0.782,178.151,60.448,nan,nan,82.963,258.997,277.572,148.695,69.530,116.320,27.410,nan,0.000,0.000,15.210,109.213,41.248,37.281,3.608,59.935,45.431,46.122,137.935,nan,25.894,36.852,nan,42.642,32.894,38.641,0.270,nan,nan,nan,55.015,nan,52.471,161.556
Soil6_CE_73_-21_None_T9,nan,0.391,251.595,59.735,nan,nan,119.182,341.522,358.130,247.555,89.920,116.601,44.411,nan,0.000,4.363,22.357,126.835,44.992,37.787,2.680,56.613,64.013,62.393,195.689,nan,35.244,47.791,nan,51.997,48.126,52.654,0.809,nan,nan,nan,74.848,nan,112.047,271.380
