,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil16_CE_251_N6_22_CHL_T9,nan,0.978,98.596,39.564,nan,nan,6.326,99.560,126.961,21.882,57.845,64.936,7.990,nan,0.517,1.744,2.092,82.179,41.963,42.188,1.808,44.017,56.943,49.767,53.554,nan,15.792,36.949,nan,36.187,40.551,44.122,1.505,nan,nan,nan,15.203,nan,6.596,41.444
Soil16_CE_251_N6_28_CHL_T9,nan,0.978,115.440,66.538,nan,nan,6.170,128.319,157.065,19.471,111.890,117.699,8.527,nan,1.139,6.835,1.493,102.267,76.854,57.293,0.904,70.683,85.198,82.708,49.695,nan,13.709,55.639,nan,65.788,71.487,63.132,2.439,nan,nan,nan,17.028,nan,8.937,36.117
Soil16_CE_251_N6_3_CHL_T9,nan,1.508,94.896,27.584,nan,nan,20.849,102.288,128.539,55.279,48.871,64.617,18.614,nan,0.080,2.234,4.755,131.594,28.327,24.878,6.448,31.718,31.073,27.186,92.546,nan,15.852,21.231,nan,21.167,23.066,30.201,3.055,nan,nan,nan,45.001,nan,20.804,92.455
Soil16_CE_251_N6_6_CHL_T9,nan,1.174,104.785,24.286,nan,nan,26.320,107.314,113.455,54.011,46.747,59.907,24.035,nan,0.000,0.698,4.584,135.056,34.000,24.106,7.974,24.451,27.055,29.644,90.564,nan,17.220,18.633,nan,23.514,19.570,27.109,1.979,nan,nan,nan,35.970,nan,14.782,91.495
Soil16_CE_251_N6_8_CHL_T9,nan,0.978,100.485,32.325,nan,nan,14.664,116.547,126.030,45.062,47.189,70.490,17.540,nan,0.000,0.343,3.346,122.907,34.262,23.291,5.863,32.082,35.452,35.666,88.174,nan,20.412,23.382,nan,21.531,29.296,26.843,4.250,nan,nan,nan,30.748,nan,9.805,76.303
Soil17_CE_251_N3_-100_CHL_T9,nan,0.587,108.833,56.284,nan,nan,7.372,99.059,117.845,30.476,80.427,76.727,5.964,nan,0.000,2.138,0.995,114.042,54.300,51.954,1.340,52.114,44.350,48.069,71.005,nan,24.047,40.254,nan,49.015,48.714,47.259,0.989,nan,nan,nan,17.107,nan,10.761,43.685
Soil17_CE_251_N3_-40_CHL_T9,nan,1.663,108.448,38.307,nan,nan,11.727,144.581,152.430,44.748,58.752,90.933,28.645,nan,0.000,4.504,3.782,127.926,52.910,33.006,14.744,43.396,49.334,51.257,98.502,nan,18.268,33.085,nan,45.866,41.472,46.351,2.065,nan,nan,nan,39.792,nan,24.046,69.278
Soil17_CE_251_N3_-4_CHL_T9,nan,0.977,112.411,33.659,nan,nan,23.550,142.620,143.369,54.848,41.930,78.750,30.217,nan,0.259,9.887,3.920,153.339,48.745,33.095,5.964,22.895,27.765,27.445,117.030,nan,33.460,18.805,nan,22.396,17.658,28.400,3.655,nan,nan,nan,48.602,nan,14.513,84.827
Soil17_CE_251_N3_0_CHL_T9,nan,0.489,86.965,25.833,nan,nan,18.667,125.786,126.066,53.048,47.189,69.859,31.160,nan,0.146,7.121,2.053,132.436,35.771,16.836,3.722,26.797,31.684,26.844,96.914,nan,21.209,18.324,nan,19.088,20.427,24.604,2.702,nan,nan,nan,42.963,nan,15.687,80.446
Soil17_CE_251_N3_10_CHL_T9,nan,0.782,74.371,22.277,nan,nan,17.798,99.914,101.121,41.923,35.284,52.808,20.430,nan,0.517,8.653,2.187,97.079,22.495,18.350,5.021,20.919,19.538,17.799,77.384,nan,16.393,11.857,nan,22.505,12.259,20.773,2.929,nan,nan,nan,31.181,nan,9.952,68.017
Soil17_CE_251_N3_13_CHL_T9,nan,0.782,97.670,21.150,nan,nan,20.515,115.063,132.386,44.862,35.598,59.572,22.472,nan,0.085,11.880,1.822,121.478,33.033,24.425,6.012,26.271,27.849,33.807,93.786,nan,24.405,15.856,nan,24.289,23.180,26.566,4.112,nan,nan,nan,39.002,nan,15.989,64.548
Soil17_CE_251_N3_16_CHL_T9,nan,0.587,83.994,25.176,nan,nan,16.621,97.917,97.250,43.101,41.410,54.251,17.026,nan,0.000,7.041,1.715,109.355,27.945,12.892,1.959,25.231,20.997,21.715,73.571,nan,22.168,15.619,nan,19.994,18.575,21.226,3.035,nan,nan,nan,29.875,nan,10.258,55.347
Soil17_CE_251_N3_20_CHL_T9,nan,1.076,79.296,22.266,nan,nan,12.596,89.171,100.523,34.198,43.415,50.770,11.598,nan,0.000,4.686,1.211,93.213,26.864,24.144,7.656,23.013,21.668,21.010,69.178,nan,17.426,17.058,nan,19.491,22.223,28.975,2.428,nan,nan,nan,22.643,nan,10.611,49.491
Soil17_CE_251_N3_24_CHL_T9,nan,0.685,88.803,34.216,nan,nan,7.508,98.022,123.868,26.682,69.911,67.840,10.641,nan,0.000,4.895,0.968,89.650,50.970,34.129,5.932,44.804,31.010,34.396,53.134,nan,17.183,32.984,nan,33.896,33.646,39.108,1.167,nan,nan,nan,20.273,nan,4.513,38.907
Soil17_CE_251_N3_28_CHL_T9,nan,0.880,88.761,44.129,nan,nan,6.292,100.617,112.898,20.305,63.597,67.185,7.976,nan,0.776,4.100,1.211,80.746,45.949,39.722,0.000,44.740,38.319,33.292,44.109,nan,16.314,32.533,nan,43.165,40.484,41.502,1.081,nan,nan,nan,18.025,nan,2.730,32.454
Soil17_CE_251_N3_6_CHL_T9,nan,1.172,84.285,17.427,nan,nan,19.226,103.558,112.028,43.093,35.234,56.828,27.145,nan,0.000,7.762,3.065,121.669,34.595,9.817,8.131,19.562,10.757,15.938,94.457,nan,26.979,11.051,nan,17.022,14.297,20.768,2.668,nan,nan,nan,36.766,nan,13.056,71.533
Soil3_CE_239_-11_CHL_T9,nan,0.489,91.442,55.279,nan,nan,11.174,117.974,133.901,21.184,64.089,66.498,12.644,nan,0.000,0.000,2.530,42.481,27.701,39.954,1.000,42.238,37.559,39.146,69.650,nan,12.002,36.481,nan,33.559,25.974,35.041,0.000,nan,nan,nan,7.764,nan,2.934,27.010
Soil3_CE_239_-14_CHL_T9,nan,0.685,83.418,43.234,nan,nan,9.400,108.801,124.792,21.763,56.791,59.732,10.041,nan,0.000,0.000,2.343,45.424,22.310,20.179,0.000,38.138,33.258,28.523,64.533,nan,14.310,24.448,nan,30.772,26.485,31.345,0.000,nan,nan,nan,6.764,nan,0.753,23.042
Soil3_CE_239_-16_CHL_T9,nan,1.174,101.529,49.849,nan,nan,13.433,146.046,161.691,27.747,65.088,79.865,8.980,nan,0.000,0.000,3.960,57.060,41.345,47.243,0.598,49.960,40.540,46.775,99.422,nan,21.043,35.998,nan,42.501,36.274,38.163,0.180,nan,nan,nan,7.454,nan,6.934,26.826
