,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil5_CE_201_-15_CHL_T9,30.220,6.320,355.400,0.000,31.910,44.210,0.550,281.160,7.660,15.960,0.000,0.620,1.780,0.700,0.720,0.000,5.920,2.470,0.000,0.000,0.000,0.000,0.000,0.000,207.890,0.000,0.000,6.740,7.130,0.000,0.000,1089.960,0.000,0.000,0.000,17.740,56.390,3.270,0.000,0.000
Soil5_CE_201_-19_CHL_T9,41.040,9.680,482.330,0.000,52.220,70.540,0.540,438.130,32.590,24.790,0.000,0.720,3.170,1.380,0.430,0.000,8.680,7.170,0.000,0.000,0.000,0.000,0.000,0.000,282.880,0.000,0.000,23.140,5.300,0.000,0.000,1573.420,0.000,0.000,0.000,24.610,90.050,6.270,0.620,0.000
Soil5_CE_201_-23_CHL_T9,53.220,8.010,582.300,0.000,65.870,73.710,1.010,494.210,47.530,31.060,0.000,0.710,2.160,1.440,0.510,0.000,14.570,7.140,0.000,0.000,0.000,0.000,0.000,0.000,334.740,0.000,0.000,19.980,5.430,0.000,0.000,1865.350,0.000,0.000,0.000,30.320,104.330,8.150,0.120,0.000
Soil5_CE_201_-28_CHL_T9,40.400,7.820,539.510,0.000,49.770,63.310,0.420,456.630,24.760,30.090,0.000,0.380,1.940,1.990,0.430,0.000,10.390,8.190,0.000,0.000,0.000,0.000,0.000,0.000,302.490,0.000,0.000,14.070,2.760,0.000,0.000,1687.900,0.000,0.000,0.000,29.970,105.000,7.140,0.000,0.000
Soil5_CE_201_-35_CHL_T9,56.430,9.490,627.410,0.000,62.450,77.190,1.630,547.330,22.580,35.570,0.000,1.090,2.230,2.960,0.000,0.000,12.130,8.270,0.000,0.000,0.000,0.000,0.000,0.000,367.980,0.000,0.000,16.310,4.410,0.000,0.000,2128.030,0.000,0.000,0.000,36.000,129.340,7.260,1.680,0.000
Soil5_CE_201_-55_CHL_T9,46.740,6.950,491.510,0.000,61.350,66.530,0.930,408.000,20.460,26.410,0.000,0.690,3.260,0.480,0.000,0.000,11.590,6.670,0.000,0.000,0.000,0.000,0.000,0.000,310.000,0.000,0.000,12.800,3.160,0.000,0.000,1669.130,0.000,0.000,0.000,30.530,112.320,7.380,0.000,0.000
Soil5_CE_201_-5_CHL_T9,23.310,6.170,334.960,0.000,30.940,38.170,0.270,255.020,4.450,14.430,0.000,0.270,2.820,0.680,0.000,0.000,7.190,1.290,0.000,0.000,0.000,0.000,0.000,0.000,161.450,0.000,0.000,3.880,1.560,0.000,0.000,823.040,0.000,0.000,0.000,16.150,51.910,3.740,0.000,0.000
Soil5_CE_201_-9_CHL_T9,36.210,5.970,434.130,0.000,42.460,39.960,0.860,359.070,8.360,23.510,0.000,0.000,0.610,1.460,0.000,0.000,8.510,1.320,0.000,0.000,0.000,0.000,0.000,0.000,233.110,0.000,0.000,7.630,5.070,0.000,0.000,1214.750,0.000,0.000,0.000,18.380,72.930,4.580,0.090,0.000
Soil5_CE_201_0_CHL_T9,35.440,11.480,701.560,0.000,68.300,66.440,0.250,554.600,9.290,28.900,0.000,0.820,2.850,0.860,0.860,0.000,14.980,0.650,0.000,0.000,0.000,0.000,0.000,0.000,284.310,0.000,0.000,14.280,5.210,0.000,0.000,1576.750,0.000,0.000,0.000,40.130,80.730,8.100,0.670,0.000
Soil5_CE_201_7_CHL_T9,23.610,14.710,792.500,0.000,60.370,57.180,0.070,898.280,10.650,30.660,0.000,1.090,2.400,1.360,0.000,0.000,14.750,0.140,0.000,0.000,0.000,0.000,0.000,0.000,264.570,0.000,0.000,22.990,3.170,0.000,0.000,1558.970,0.000,0.000,0.000,43.730,104.600,6.400,0.000,0.000
Soil6_CE_73_-11_CHL_T9,33.830,8.750,464.500,0.000,50.470,61.930,5.910,266.740,9.240,32.170,0.000,1.250,0.930,2.730,0.780,0.000,9.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,201.910,0.000,0.000,3.950,3.690,0.000,0.000,1129.930,0.000,0.000,0.690,34.910,54.950,1.350,0.000,0.520
Soil6_CE_73_-14_CHL_T9,68.550,16.080,1002.680,0.000,129.330,130.220,23.750,688.920,66.900,74.630,0.000,1.330,0.770,2.720,1.940,0.000,13.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,528.920,0.000,0.000,15.780,6.890,0.000,0.000,2620.300,0.000,0.000,3.250,79.500,142.720,1.880,0.000,2.370
Soil6_CE_73_-17_CHL_T9,28.810,9.880,516.210,0.000,64.850,69.500,10.050,329.440,39.870,34.980,0.000,1.160,0.960,1.270,2.380,0.000,9.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,268.430,0.000,0.000,10.270,3.090,0.000,0.000,1380.900,0.000,0.000,2.000,43.050,69.610,0.900,0.000,1.190
Soil6_CE_73_-21_CHL_T9,38.470,16.240,593.760,0.000,79.480,74.890,8.860,356.470,40.260,42.720,0.000,1.050,0.960,2.050,0.910,0.000,9.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.400,0.000,0.000,7.530,4.630,0.000,0.000,1531.430,0.000,0.000,1.900,50.830,82.750,1.820,0.000,0.600
Soil6_CE_73_-26_CHL_T9,37.370,13.840,555.050,0.000,70.860,67.850,7.030,336.710,40.960,38.530,0.000,0.570,1.730,2.150,1.230,0.000,12.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,261.560,0.000,0.000,6.980,5.610,0.000,0.000,1388.340,0.000,0.000,1.000,47.950,73.200,0.550,0.000,0.980
Soil6_CE_73_-40_CHL_T9,28.140,11.400,521.700,0.000,72.700,71.610,6.210,303.520,26.270,38.320,0.000,0.680,0.190,1.310,1.920,0.000,12.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,251.920,0.000,0.000,9.060,2.020,0.000,0.000,1319.870,0.000,0.000,1.220,45.290,67.490,1.480,0.000,0.740
Soil6_CE_73_-4_CHL_T9,32.900,16.560,581.360,0.000,73.170,59.390,2.090,361.920,13.900,38.230,0.000,2.400,0.000,2.680,0.770,0.000,7.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,230.380,0.000,0.000,3.780,3.310,0.000,0.000,1242.450,0.000,0.000,1.070,48.890,61.980,1.810,0.000,0.600
Soil6_CE_73_-70_CHL_T9,36.580,16.270,573.670,0.000,92.190,78.850,8.000,309.500,26.880,39.310,0.000,0.590,0.000,1.820,1.300,0.000,11.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,328.030,0.000,0.000,6.450,6.330,0.000,0.000,1608.860,0.000,0.000,1.650,48.120,84.800,1.460,0.000,0.530
Soil6_CE_73_-7_CHL_T9,29.310,12.990,468.230,0.000,54.460,49.780,4.120,270.730,6.450,30.710,0.000,0.820,0.000,1.820,1.390,0.000,10.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,203.990,0.000,0.000,4.250,2.810,0.000,0.000,998.230,0.000,0.000,1.090,40.190,51.270,0.920,0.000,1.150
Soil6_CE_73_0_CHL_T9,23.360,11.130,473.760,0.000,65.200,44.070,3.910,293.820,8.070,32.780,0.000,1.700,0.380,1.620,1.220,0.000,8.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,178.960,0.000,0.000,3.270,2.540,0.000,0.000,960.690,0.000,0.000,0.420,42.550,47.350,0.910,0.000,0.310
Soil6_CE_73_7_CHL_T9,21.390,9.940,608.050,0.000,70.700,50.620,2.300,586.210,4.710,38.980,0.000,1.780,0.000,4.920,0.170,0.000,9.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,177.330,0.000,0.000,8.370,0.760,0.000,0.000,1300.540,0.000,0.000,0.280,46.150,65.420,0.800,0.000,0.680
Soil9_CE_277_-10_CHL_T9,33.590,18.080,564.950,0.000,51.950,71.390,8.590,281.890,9.140,68.540,0.000,1.090,0.000,2.110,2.360,0.000,11.260,1.420,0.000,0.000,0.000,0.000,0.000,0.000,136.580,0.000,0.000,8.150,7.650,0.000,0.000,1123.620,0.800,0.000,0.000,30.460,65.860,4.410,0.000,0.000
Soil9_CE_277_-13_CHL_T9,30.300,10.270,499.760,0.000,40.750,54.400,8.220,251.240,8.860,56.380,0.000,0.380,0.000,2.700,0.650,0.000,7.090,0.770,0.000,0.000,0.000,0.000,0.000,0.000,127.460,0.000,0.000,6.620,4.960,0.000,0.000,934.570,0.960,0.000,0.000,26.440,56.610,4.270,0.110,0.000
Soil9_CE_277_-16_CHL_T9,38.850,15.320,683.580,0.000,51.670,73.140,11.510,360.530,8.240,73.990,0.000,0.950,0.000,2.660,0.760,0.000,13.160,4.230,0.000,0.000,0.000,0.000,0.000,0.000,164.030,0.000,0.000,1.730,6.090,0.000,0.000,1165.080,1.080,0.000,0.000,37.450,82.910,4.530,0.210,0.000
Soil9_CE_277_-20_CHL_T9,33.530,8.770,580.400,0.000,38.780,58.060,10.560,297.690,8.890,62.670,0.000,0.870,0.000,3.330,0.650,0.000,11.460,1.880,0.000,0.000,0.000,0.000,0.000,0.000,140.590,0.000,0.000,2.260,6.450,0.000,0.000,891.690,0.460,0.000,0.000,28.530,70.450,4.820,0.000,0.000
Soil9_CE_277_-28_CHL_T9,33.250,18.900,644.000,0.000,39.970,70.490,7.770,301.640,9.130,63.310,0.000,0.590,0.000,3.410,0.750,0.000,9.400,2.000,0.000,0.000,0.000,0.000,0.000,0.000,170.030,0.000,0.000,2.600,7.230,0.000,0.000,1022.570,2.520,0.000,0.000,32.760,75.670,7.410,0.590,0.000
Soil9_CE_277_-2_CHL_T9,26.240,17.750,590.450,0.000,46.920,57.800,10.550,277.110,22.970,55.720,0.000,0.000,0.000,1.290,0.000,0.000,9.230,2.770,0.000,0.000,0.000,0.000,0.000,0.000,103.090,0.000,0.000,6.830,11.540,0.000,0.000,934.480,0.790,0.000,0.000,31.820,48.150,3.700,0.110,0.000
Soil9_CE_277_-5_CHL_T9,35.300,12.550,521.230,0.000,48.090,59.530,9.160,284.910,27.730,57.370,0.000,0.680,0.000,0.430,0.430,0.000,8.990,2.620,0.000,0.000,0.000,0.000,0.000,0.000,121.400,0.000,0.000,5.770,9.040,0.000,0.000,1020.050,0.350,0.000,0.000,28.270,52.820,4.720,0.000,0.000
Soil9_CE_277_-75_CHL_T9,27.540,16.250,486.210,0.000,39.170,48.540,12.180,206.160,9.100,40.300,0.000,0.700,0.000,2.470,0.880,0.000,11.800,2.630,0.000,0.000,0.000,0.000,0.000,0.000,122.600,0.000,0.000,1.680,7.680,0.000,0.000,850.840,0.980,0.000,0.000,25.960,46.130,2.640,0.130,0.000
Soil9_CE_277_-7_CHL_T9,31.780,11.960,558.830,0.000,54.270,54.770,6.790,289.280,8.600,58.450,0.000,0.880,0.000,0.000,0.540,0.000,11.870,5.440,0.000,0.000,0.000,0.000,0.000,0.000,122.370,0.000,0.000,6.340,10.090,0.000,0.000,1099.480,0.550,0.000,0.000,30.880,55.420,2.870,0.210,0.000
Soil9_CE_277_0_CHL_T9,39.130,34.510,736.740,0.000,61.230,71.130,17.020,340.000,22.600,68.190,0.000,0.580,0.000,1.860,1.770,0.000,10.430,3.860,0.000,0.000,0.000,0.000,0.000,0.000,110.380,0.000,0.000,4.830,7.120,0.000,0.000,1142.980,1.200,0.000,0.000,41.700,51.340,4.140,0.180,0.000
Soil9_CE_277_4_CHL_T9,26.880,16.840,609.440,0.000,58.270,57.980,5.870,327.120,10.080,61.160,0.000,1.450,0.000,3.370,2.320,0.000,8.640,1.710,0.000,0.000,0.000,0.000,0.000,0.000,95.320,0.000,0.000,4.950,10.870,0.000,0.000,949.390,1.670,0.000,0.000,34.190,45.400,1.260,0.110,0.000
