1	172408662
2	44546948
3	19857052
4	11274931
5	7264118
6	5038895
7	3404137
8	2442736
9	1776120
10	1346070
11	1043789
12	825806
13	661868
14	538075
15	441508
16	367146
17	307651
18	259860
19	219931
20	187969
21	162026
22	141260
23	122791
24	106874
25	94120
26	82698
27	73244
28	65095
29	57994
30	51570
31	46193
32	41785
33	37323
34	33776
35	30792
36	27956
37	25844
38	23259
39	21498
40	19464
41	17441
42	16631
43	15265
44	13995
45	13167
46	12029
47	11286
48	10217
49	9593
50	8866
51	8226
52	7905
53	7241
54	6843
55	6378
56	5959
57	5570
58	5387
59	5009
60	4602
61	4355
62	4068
63	4026
64	3665
65	3481
66	3301
67	3112
68	3078
69	2734
70	2628
71	2515
72	2418
73	2199
74	2120
75	2105
76	1985
78	1821
77	1810
79	1782
80	1637
81	1597
82	1477
83	1413
84	1348
85	1306
86	1238
87	1157
89	1137
88	1117
90	1066
92	1008
91	948
94	919
93	894
95	855
96	794
98	764
97	758
99	717
100	710
102	694
101	690
104	633
106	608
103	603
105	581
107	543
108	522
109	495
111	485
110	480
113	464
112	443
115	429
114	415
116	407
117	400
121	388
119	375
118	367
122	364
123	342
120	342
125	318
127	297
130	294
126	292
124	284
129	277
128	265
134	260
133	240
135	237
132	232
131	229
136	214
137	204
139	201
138	192
140	185
144	179
141	178
142	173
147	166
143	165
145	164
146	159
152	151
148	146
149	142
157	138
156	138
150	137
155	136
151	131
153	130
164	118
161	117
158	115
154	113
160	112
167	104
159	103
168	101
169	99
162	99
165	96
166	90
170	89
174	88
172	88
163	86
186	78
177	75
179	74
173	74
175	72
185	71
171	69
190	68
180	68
194	67
184	67
176	67
188	66
181	63
193	61
187	61
182	58
178	58
189	57
191	56
183	56
192	54
198	50
195	49
202	48
196	48
201	44
210	43
203	43
204	42
200	41
197	40
218	39
206	39
214	38
213	38
227	37
199	37
223	36
208	36
207	36
209	33
211	32
232	30
222	30
205	30
220	29
217	29
212	29
216	28
215	28
221	27
229	26
248	25
236	25
219	25
228	24
225	24
249	21
238	21
237	21
234	21
224	21
246	20
233	20
230	20
251	19
235	19
231	19
226	19
241	18
254	17
247	17
239	15
284	14
283	14
267	14
243	14
240	14
291	13
274	13
273	13
263	13
256	13
252	13
244	13
242	13
282	12
275	12
259	12
255	12
250	12
295	11
286	11
279	11
261	11
257	11
297	10
294	10
280	10
276	10
270	10
269	10
265	10
260	10
258	10
308	9
296	9
292	9
285	9
271	9
268	9
253	9
345	8
314	8
313	8
309	8
306	8
289	8
245	8
339	7
331	7
329	7
301	7
298	7
281	7
266	7
264	7
262	7
393	6
358	6
342	6
337	6
336	6
322	6
318	6
304	6
302	6
299	6
293	6
288	6
287	6
418	5
382	5
373	5
370	5
362	5
354	5
330	5
326	5
315	5
311	5
307	5
305	5
278	5
272	5
415	4
381	4
371	4
367	4
360	4
350	4
346	4
343	4
340	4
335	4
324	4
321	4
320	4
312	4
300	4
449	3
426	3
420	3
419	3
395	3
394	3
392	3
391	3
388	3
383	3
378	3
376	3
375	3
372	3
369	3
364	3
363	3
349	3
348	3
344	3
338	3
334	3
332	3
325	3
317	3
316	3
310	3
290	3
277	3
606	2
584	2
583	2
574	2
546	2
495	2
486	2
468	2
458	2
456	2
455	2
441	2
430	2
423	2
422	2
416	2
411	2
410	2
408	2
406	2
405	2
404	2
402	2
399	2
398	2
397	2
390	2
384	2
380	2
379	2
377	2
368	2
366	2
359	2
356	2
352	2
351	2
347	2
341	2
333	2
328	2
327	2
323	2
319	2
303	2
910	1
844	1
820	1
801	1
788	1
779	1
751	1
748	1
744	1
741	1
730	1
708	1
687	1
679	1
662	1
661	1
653	1
652	1
651	1
644	1
640	1
619	1
605	1
603	1
602	1
580	1
577	1
573	1
571	1
562	1
561	1
560	1
552	1
549	1
543	1
542	1
540	1
539	1
537	1
535	1
534	1
530	1
523	1
518	1
517	1
516	1
510	1
508	1
505	1
504	1
503	1
502	1
493	1
492	1
487	1
483	1
482	1
481	1
478	1
476	1
473	1
472	1
471	1
470	1
469	1
465	1
464	1
462	1
461	1
460	1
459	1
457	1
453	1
450	1
447	1
446	1
445	1
443	1
442	1
440	1
439	1
438	1
437	1
435	1
431	1
428	1
425	1
417	1
413	1
412	1
407	1
403	1
401	1
400	1
389	1
387	1
386	1
374	1
361	1
357	1
353	1
1725	1
1700	1
1692	1
1448	1
1291	1
1024	1
