soil_id,Soil,Soil_pH,pH_chl,pH_none,Unit,dph_chl,dph_none,well_none,Replicate,well_chl,inferred_a0_chl,inferred_a0_none,inferred_x0,gamma,inferred_c0,carbon_depletion_time,mean_squared_error,rmse,,time_none_ 1,time_none_ 2,time_none_ 3,time_none_ 4,time_none_ 5,time_none_ 6,time_none_ 7,time_none_ 8,time_none_ 9,time_none_10,no3_none_ 1,no3_none_ 2,no3_none_ 3,no3_none_ 4,no3_none_ 5,no3_none_ 6,no3_none_ 7,no3_none_ 8,no3_none_ 9,no3_none_10,time_chl_ 1,time_chl_ 2,time_chl_ 3,time_chl_ 4,time_chl_ 5,time_chl_ 6,time_chl_ 7,time_chl_ 8,time_chl_ 9,time_chl_10,no3_chl_ 1,no3_chl_ 2,no3_chl_ 3,no3_chl_ 4,no3_chl_ 5,no3_chl_ 6,no3_chl_ 7,no3_chl_ 8,no3_chl_ 9,no3_chl_10
1,Soil1,4.703,7.546546547,7.666666667,-26,2.843546547,2.963666667,D02,2,D08,2.014649688,2.030770759,0.263948704,4.8,0.183482018,0.305647965,0.005138347,0.071682264,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.989833441,1.875932049,1.729422825,1.52657279,1.26465354,0.918566796,0.089704433,0,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.084471695,1.938754144,1.937302182,1.773394736,1.794107517,1.754219581,1.554029846,1.345760113,1.279645916,1.073109163
1,Soil1,4.703,7.546546547,7.666666667,-26,2.843546547,2.963666667,F02,3,F08,2.035332261,2.117081218,0.280847035,4.8,0.197819853,0.307764599,0.002714172,0.052097712,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.09962135,2.005515021,1.808575673,1.479518889,1.261010456,0.912641323,0.081791,0,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.035250566,1.980329703,1.932355433,1.82997219,1.798918661,1.770031107,1.548195669,1.337354155,1.261190703,1.016797466
1,Soil1,4.703,7.042042042,7.462462462,-21,2.339042042,2.759462462,A03,1,A09,2.999977407,2.048592736,0.419313323,4.8,0.123680861,0.183757244,0.006391164,0.079944755,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.916041659,1.891526812,1.785943389,1.575662926,1.244792965,0.909913299,0.275297957,0,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,3.042751979,3.020850692,2.931246159,2.653459499,2.544518382,2.566605898,2.195006061,1.99098532,1.796713903,1.56248332
1,Soil1,4.703,7.042042042,7.462462462,-21,2.339042042,2.759462462,C03,2,C09,2.934549679,1.997093762,0.407927639,4.8,0.108426904,0.17132247,0.003355393,0.057925757,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.924717301,1.829723776,1.748822171,1.523457657,1.241512015,0.941614622,0.385251541,0,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.997503824,2.884927494,2.803846629,2.617436528,2.504733162,2.50139865,2.233948198,1.931358425,1.773231316,1.51536094
1,Soil1,4.703,7.042042042,7.462462462,-21,2.339042042,2.759462462,E03,3,E09,2.943881304,1.984087529,0.397505352,4.8,0.122710388,0.189368823,0.004101343,0.064041726,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.864948082,1.830340399,1.732250678,1.503954622,1.209789952,0.893852632,0.255722823,0,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.974858438,2.89215906,2.824248345,2.605982161,2.555709677,2.55417902,2.266620839,1.977748422,1.822653715,1.525523988
1,Soil1,4.703,6.645645646,6.993993994,-18,1.942645646,2.290993994,B03,1,B09,2.949438312,1.964815445,0.439686296,4.8,0.079210319,0.129815788,0.004377539,0.06616297,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.873573324,1.88298534,1.698779288,1.563543737,1.202277496,0.994568901,0.54736001,0.194929211,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.955845401,2.974590445,2.887060019,2.602582906,2.438759562,2.436571273,2.12825673,1.904607081,1.71876798,1.431043971
1,Soil1,4.703,6.645645646,6.993993994,-18,1.942645646,2.290993994,D03,2,D09,2.933970424,1.959379111,0.405664476,4.8,0.090541584,0.151706213,0.003624198,0.060201314,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.856262237,1.880288764,1.747107996,1.511400717,1.181237377,0.964822792,0.548800503,0.144712731,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,3.00606778,2.908558281,2.814502005,2.563896854,2.493030343,2.516460089,2.249478865,1.923014696,1.792545106,1.521366078
1,Soil1,4.703,6.645645646,6.993993994,-18,1.942645646,2.290993994,F03,3,F09,2.938617925,2.016713831,0.405805425,4.8,0.111636864,0.175369375,0.004170763,0.064581441,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.893419516,1.917498998,1.784281184,1.549962308,1.178844358,0.934217393,0.424386079,0.068816528,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.980316759,2.941935077,2.838655585,2.571892292,2.511004449,2.492193862,2.238943955,1.93563321,1.795051339,1.527844815
1,Soil1,4.703,6.405405405,7.162162162,-14,1.702405405,2.459162162,A04,1,A10,2.471255571,2.010834561,0.37469777,4.8,0.08487707,0.153306814,0.003047858,0.055207408,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.933237549,1.932465212,1.833614537,1.558083958,1.300709206,1.079511486,0.659880388,0.35754946,0.030272785,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.380444165,2.44258483,2.431150001,2.220665096,2.108527667,2.101500721,1.801282061,1.537479698,1.415324335,1.14648638
1,Soil1,4.703,6.405405405,7.162162162,-14,1.702405405,2.459162162,C04,2,C10,2.469013212,1.931067185,0.382929713,4.8,0.065608216,0.125031564,0.001378346,0.037126077,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.892633596,1.842497728,1.764666621,1.497205204,1.27456379,1.106925857,0.720322855,0.400703866,0.100918504,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.454238501,2.418502172,2.404957008,2.178066686,2.088945751,2.046084625,1.804531382,1.544032526,1.401526423,1.109494799
1,Soil1,4.703,6.405405405,7.162162162,-14,1.702405405,2.459162162,E04,3,E10,2.458071877,1.952519044,0.377376954,4.8,0.078863116,0.144727263,0.002344856,0.048423714,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.910833272,1.842619528,1.78425161,1.481039821,1.256284643,1.071159877,0.673791712,0.327224883,0.010204861,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.372199894,2.416177417,2.376339775,2.141208639,2.20661538,2.072135736,1.795269582,1.520075957,1.434762669,1.082159253
1,Soil1,4.703,6.225225225,6.681681682,-11,1.522225225,1.978681682,B04,1,B10,2.458629241,1.97037165,0.359168559,4.8,0.07548169,0.145315372,0.000718261,0.026800388,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.932232017,1.857781619,1.78604968,1.533993582,1.333912636,1.139223449,0.73878036,0.404353654,0.054148298,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.43469323,2.396606753,2.334023387,2.204901634,2.104870983,2.101523937,1.826473935,1.703962248,1.448388306,1.116227706
1,Soil1,4.703,6.225225225,6.681681682,-11,1.522225225,1.978681682,D04,2,D10,2.446615528,1.982104972,0.369986687,4.8,0.077548834,0.145037529,0.001162969,0.034102338,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.981255323,1.857936145,1.736977554,1.534870991,1.342843665,1.146700336,0.714383617,0.357243342,0.01316394,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.398233175,2.385677119,2.370090799,2.173835136,2.101768343,2.081352145,1.806901725,1.564808881,1.408817588,1.11202017
1,Soil1,4.703,6.225225225,6.681681682,-11,1.522225225,1.978681682,F04,3,F10,2.464049318,1.98913722,0.381136447,4.8,0.081702643,0.147400301,0.002271289,0.047658039,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.918848463,1.852495775,1.817135546,1.536542914,1.3081467,1.117683947,0.679007403,0.296283721,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.443862375,2.386183342,2.386495373,2.15113992,2.09292226,2.121848087,1.829673943,1.51865317,1.409771781,1.084726619
1,Soil1,4.703,5.720720721,6.201201201,-8,1.017720721,1.498201201,A05,1,A11,2.478673241,2.040873763,0.369929672,4.8,0.07447585,0.140871359,0.002685555,0.05182234,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.033391217,1.911649105,1.890050953,1.600500331,1.374473226,1.172780461,0.758301567,0.441036833,0.162785664,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.520328852,2.460103361,2.362756395,2.163799262,2.13433313,2.067684982,1.83110164,1.542420811,1.431046507,1.211289616
1,Soil1,4.703,5.720720721,6.201201201,-8,1.017720721,1.498201201,C05,2,C11,2.435667999,1.943850944,0.350251666,4.8,0.069044276,0.138726085,0.00219128,0.046811105,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.896326921,1.835565838,1.781905653,1.533119821,1.360893213,1.142598265,0.763452274,0.433954159,0.159920365,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.433368267,2.411922682,2.358808212,2.169518012,2.109394449,2.059684377,1.795738237,1.560959911,1.424885206,1.239793336
1,Soil1,4.703,5.720720721,6.201201201,-8,1.017720721,1.498201201,E05,3,E11,2.465310737,1.974940985,0.374955312,4.8,0.070940999,0.134611618,0.002933408,0.054160945,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.931038775,1.910921608,1.813363019,1.545889793,1.297356201,1.107049389,0.700208312,0.412620725,0.131088052,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.401680093,2.492424339,2.375737015,2.186522606,2.147470746,2.03694581,1.755385679,1.574192388,1.388109714,1.163998106
1,Soil1,4.703,5.108108108,5.636636637,-5,0.405108108,0.933636637,B05,1,B11,2.480166957,2.002863448,0.366732802,4.8,0.05122756,0.106899922,0.000962135,0.031018301,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.006469331,1.863615291,1.829789835,1.61567343,1.439110669,1.307968138,0.956823832,0.655713764,0.361420154,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.500914083,2.390847742,2.381487316,2.241755846,2.164208364,2.049390496,1.810937574,1.603231218,1.454634914,1.186138582
1,Soil1,4.703,5.108108108,5.636636637,-5,0.405108108,0.933636637,D05,2,D11,2.419017161,1.965116689,0.338570464,4.8,0.058267104,0.125451003,0.001820477,0.042667051,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.90987569,1.842026326,1.78411895,1.586818279,1.450890542,1.300263582,0.922926052,0.585299134,0.29883529,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.44558926,2.35813751,2.341578694,2.173020431,2.120387785,2.04101905,1.777311154,1.585204088,1.464680062,1.250470249
1,Soil1,4.703,5.108108108,5.636636637,-5,0.405108108,0.933636637,F05,3,F11,2.432290899,1.989089805,0.342967653,4.8,0.069457807,0.141478525,0.001774957,0.04213024,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.902596905,1.863961675,1.820470806,1.569950592,1.419650015,1.278231282,0.869715813,0.498358366,0.150448799,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.412421068,2.421241387,2.362458003,2.187894007,2.096386317,2.034007325,1.800597205,1.621942016,1.467392048,1.225631381
1,Soil1,4.703,4.29,4.59,0,-0.413,-0.113,G04,1,G10,2.384033554,2.006456195,0.308298051,4.8,0.042964478,0.106704599,0.002061192,0.045400357,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.997679006,1.931091651,1.909480116,1.643016644,1.488891122,1.406816962,1.134930367,0.849231663,0.662082104,0.108328553,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.320490742,2.379893496,2.366043187,2.187920544,2.072497704,2.022260852,1.814388549,1.63714594,1.496873673,1.324278033
1,Soil1,4.703,4.29,4.59,0,-0.413,-0.113,G05,2,G11,2.43844356,1.99025342,0.290785115,4.8,0.04394904,0.113645522,0.001978001,0.044474728,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.049906565,1.921181641,1.813724901,1.641343625,1.512669181,1.420786303,1.123031775,0.848083795,0.648272042,0.175690832,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.45696077,2.433608353,2.336613504,2.237652064,2.17115182,2.115454784,1.884771871,1.699715173,1.602456958,1.467144392
1,Soil1,4.703,4.29,4.59,0,-0.413,-0.113,H04,3,H10,2.444286631,2.004729614,0.316849737,4.8,0.041553679,0.101723891,0.001741149,0.041727081,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.990221461,1.895775576,1.890060581,1.661300333,1.521323425,1.446916646,1.096812965,0.844831032,0.623531428,0.110416719,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.452736684,2.368907835,2.393701957,2.200150251,2.159708949,2.117665633,1.875590928,1.635705345,1.562954722,1.340186612
1,Soil1,4.703,3.834834835,3.798798799,6,-0.868165165,-0.904201201,A06,1,A12,2.02962673,2.004956189,0.236609561,4.8,0.100301752,0.231278946,0.00848072,0.092090826,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.923924337,1.763281867,1.753463626,1.634527624,1.578328868,1.414555306,0.951132621,0.392899419,0,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.025112748,2.021766875,1.960611235,1.881657105,1.829796777,1.754184746,1.582732358,1.467195506,1.328098363,1.207492459
1,Soil1,4.703,3.834834835,3.798798799,6,-0.868165165,-0.904201201,C06,2,C12,2.028411268,1.96816427,0.23426731,4.8,0.090287358,0.218186713,0.006653297,0.081567744,,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,1.840150177,1.798875153,1.745158205,1.629314905,1.510968322,1.386125365,1.002197503,0.550048822,0.039487433,0,0,0.175,0.341666667,0.691666667,0.9375,1.195833333,1.708333333,2.208333333,2.704166667,3.720833333,2.06088817,2.019643928,1.94343429,1.87149663,1.801411595,1.770371528,1.582707867,1.474450514,1.334628267,1.219518761
