,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,0.932,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.033,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,1.265,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.681,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,0.412,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.094,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,0.619,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.720,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,0.058,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.386,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,0.176,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.736,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.379,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,0.117,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.326,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,0.058,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.677,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,0.058,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,0.117,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.543,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil17_CE_251_N3_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.484,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil3_CE_239_0_CHL_No_Nitrate_T9,nan,nan,2.125,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.894,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.520,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil3_CE_239_0_None_No_Nitrate_T9,nan,nan,1.626,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.323,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil5_CE_201_0_CHL_No_Nitrate_T9,nan,nan,1.459,0.055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.504,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil5_CE_201_0_None_No_Nitrate_T9,nan,nan,1.269,0.225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.815,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil6_CE_73_0_CHL_No_Nitrate_T9,nan,nan,2.581,0.199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.219,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
