,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,7.905,0.425,nan,nan,6.972,0.121,0.000,0.440,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,5.909,0.000,nan,nan,5.761,0.081,0.000,0.606,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,9.699,0.147,nan,nan,6.559,0.080,0.000,0.110,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,13.352,0.135,nan,nan,11.995,0.384,0.000,0.275,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,8.706,1.000,nan,nan,3.432,0.121,0.000,1.441,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,9.838,0.276,nan,nan,6.056,0.081,0.000,0.275,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,11.253,0.000,nan,nan,3.862,0.321,0.000,0.771,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,25.054,2.000,nan,nan,8.177,0.147,0.000,3.224,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,8.471,0.235,nan,nan,4.051,1.040,1.000,0.716,1.000,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,23.407,0.226,nan,nan,9.231,0.236,0.000,1.210,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52.058,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,9.620,1.000,nan,nan,6.471,0.323,0.000,1.323,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.674,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000
