,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,nan,nan,2.815,0.000,nan,nan,nan,1.383,9.512,0.927,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.122
Soil11_CE_234_-10_CHL_T9,nan,nan,2.171,0.834,nan,nan,nan,1.017,6.695,1.212,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.243
Soil11_CE_234_-14_CHL_T9,nan,nan,1.820,0.000,nan,nan,nan,1.455,7.487,1.034,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.243
Soil11_CE_234_-18_CHL_T9,nan,nan,2.230,0.000,nan,nan,nan,0.944,8.709,1.418,0.000,0.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.929,nan,nan,nan,nan,nan,nan,nan,0.122
Soil11_CE_234_-25_CHL_T9,nan,nan,1.819,0.000,nan,nan,nan,1.418,5.445,2.448,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.122
Soil11_CE_234_-3_CHL_T9,nan,nan,2.993,0.000,nan,nan,nan,1.248,9.366,2.568,0.000,0.421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,0.365
Soil11_CE_234_-50_CHL_T9,nan,nan,2.993,0.000,nan,nan,nan,1.950,8.158,2.835,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.487
Soil11_CE_234_-5_CHL_T9,nan,nan,2.817,0.000,nan,nan,nan,1.508,9.667,0.871,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,0.243
Soil11_CE_234_-8_CHL_T9,nan,nan,8.883,0.000,nan,nan,nan,4.644,29.526,5.855,1.000,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,nan,0.616
Soil11_CE_234_0_CHL_T9,nan,nan,2.580,0.000,nan,nan,nan,0.858,6.877,1.961,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.852
