,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,2.991,0.000,nan,nan,nan,2.311,11.078,2.456,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,nan,0.243
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,1.995,0.000,nan,nan,nan,3.483,12.560,2.018,0.000,1.309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.573,nan,nan,nan,nan,nan,nan,nan,0.122
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,2.522,0.000,nan,nan,nan,0.989,7.442,2.890,0.000,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.122
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,2.283,0.000,nan,nan,nan,1.379,9.039,2.492,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.243
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,2.413,0.000,nan,nan,nan,0.892,3.403,1.690,0.000,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,0.365
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,2.291,0.000,nan,nan,nan,0.908,6.195,2.587,0.000,1.085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.243
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,3.043,0.000,nan,nan,nan,1.372,5.162,5.185,1.000,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.243
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,5.159,0.000,nan,nan,nan,2.782,4.571,5.435,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.608
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,3.673,0.417,nan,nan,nan,0.491,2.609,3.111,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,nan,0.243
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,5.229,0.414,nan,nan,nan,2.197,7.028,4.686,1.000,1.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,nan,1.460
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,5.053,0.000,nan,nan,nan,1.638,8.418,5.430,0.000,0.390,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,nan,0.243
Soil17_CE_251_N3_0_None_No_Nitrate_T9,nan,nan,2.788,0.000,nan,nan,nan,2.021,6.965,3.729,0.000,0.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,1.217
Soil3_CE_239_0_CHL_No_Nitrate_T9,nan,nan,3.578,0.000,nan,nan,nan,2.042,6.895,1.364,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.487
Soil3_CE_239_0_None_No_Nitrate_T9,nan,nan,4.973,0.000,nan,nan,nan,1.799,7.532,1.637,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.487
Soil5_CE_201_0_CHL_No_Nitrate_T9,nan,nan,1.878,0.000,nan,nan,nan,1.144,5.621,1.038,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,0.122
Soil5_CE_201_0_None_No_Nitrate_T9,nan,nan,5.279,0.000,nan,nan,nan,2.344,10.857,1.747,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.121
Soil6_CE_73_0_CHL_No_Nitrate_T9,nan,nan,4.288,0.000,nan,nan,nan,1.991,11.649,1.963,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,1.582
Soil6_CE_73_0_None_No_Nitrate_T9,nan,nan,4.225,0.000,nan,nan,nan,3.652,9.843,2.293,0.000,0.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,1.823
Soil9_CE_277_0_CHL_No_Nitrate_T9,nan,nan,3.819,0.000,nan,nan,nan,1.741,12.681,2.072,0.000,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.730
Soil9_CE_277_0_None_No_Nitrate_T9,nan,nan,4.049,0.000,nan,nan,nan,4.461,20.302,2.970,0.000,0.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,0.852
