,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.347,nan,nan,nan,nan,nan,nan,nan,0.070,2.402,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.451,2.832
Soil11_CE_234_-10_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.131,nan,nan,nan,nan,nan,nan,nan,0.074,2.980,0.000,1.443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.442,3.081
Soil11_CE_234_-14_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.606,nan,nan,nan,nan,nan,nan,nan,0.011,3.002,0.000,1.129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,4.239
Soil11_CE_234_-18_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.662,nan,nan,nan,nan,nan,nan,nan,0.107,4.441,0.000,2.515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.803,4.353
Soil11_CE_234_-25_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.032,nan,nan,nan,nan,nan,nan,nan,0.117,2.485,0.000,2.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.901,4.866
Soil11_CE_234_-3_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.096,nan,nan,nan,nan,nan,nan,nan,0.015,2.091,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.451,3.822
Soil11_CE_234_-50_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.118,nan,nan,nan,nan,nan,nan,nan,1.014,2.797,1.000,1.613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.451,2.954
Soil11_CE_234_-5_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.955,nan,nan,nan,nan,nan,nan,nan,0.005,2.402,0.000,2.227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,3.200
Soil11_CE_234_-8_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.898,nan,nan,nan,nan,nan,nan,nan,0.011,3.302,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.451,3.339
Soil11_CE_234_0_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.670,nan,nan,nan,nan,nan,nan,nan,0.042,3.199,0.000,0.608,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,3.070
Soil11_CE_234_3_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.191,nan,nan,nan,nan,nan,nan,nan,0.019,2.097,0.000,2.170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,3.268
Soil12_CE_229_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.671,nan,nan,nan,nan,nan,nan,nan,0.215,8.662,0.183,3.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.251,11.017
Soil12_CE_229_-13_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.613,nan,nan,nan,nan,nan,nan,nan,0.157,5.429,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.194,7.325
Soil12_CE_229_-2_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.240,nan,nan,nan,nan,nan,nan,nan,0.165,6.211,0.000,3.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.803,7.024
Soil12_CE_229_-32_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.038,nan,nan,nan,nan,nan,nan,nan,0.903,13.233,3.194,0.887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.313,9.755
Soil12_CE_229_-4_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.770,nan,nan,nan,nan,nan,nan,nan,0.404,6.173,0.000,0.474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.361,6.010
Soil12_CE_229_-6_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.714,nan,nan,nan,nan,nan,nan,nan,0.105,6.258,0.000,0.526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.901,5.457
Soil12_CE_229_-9_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.425,nan,nan,nan,nan,nan,nan,nan,0.040,4.171,0.000,0.644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.385,5.655
Soil12_CE_229_0_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.191,nan,nan,nan,nan,nan,nan,nan,0.070,1.801,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,3.815
Soil12_CE_229_10_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.917,nan,nan,nan,nan,nan,nan,nan,0.089,4.181,0.000,1.665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.803,5.422
Soil12_CE_229_3_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.957,nan,nan,nan,nan,nan,nan,nan,0.139,3.588,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.254,5.106
Soil12_CE_229_6_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.272,nan,nan,nan,nan,nan,nan,nan,0.045,2.972,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.803,4.742
Soil14_CE_251_N2_-23_None_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.466,nan,nan,nan,nan,nan,nan,nan,0.379,4.018,0.532,0.969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.260,6.994
