,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,nan,0.000,0.000,nan,nan,nan,0.050,0.231,nan,0.215,0.398,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.189,nan,3.113,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0.000,nan,nan,nan
Soil11_CE_234_-10_None_T9,nan,nan,2.920,1.000,nan,nan,nan,3.041,35.919,nan,2.770,5.332,11.202,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.953,nan,1.954,nan,nan,nan,nan,nan,0.000,nan,nan,nan,9.705,nan,nan,nan
Soil11_CE_234_-14_None_T9,nan,nan,1.364,0.000,nan,nan,nan,2.128,25.424,nan,2.220,3.965,9.584,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.980,nan,2.753,nan,nan,nan,nan,nan,0.000,nan,nan,nan,6.224,nan,nan,nan
Soil11_CE_234_-18_None_T9,nan,nan,1.025,0.000,nan,nan,nan,2.953,24.649,nan,4.143,4.279,7.464,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.852,nan,3.536,nan,nan,nan,nan,nan,0.000,nan,nan,nan,11.425,nan,nan,nan
Soil11_CE_234_-25_None_T9,nan,nan,1.287,0.000,nan,nan,nan,4.963,28.355,nan,1.512,3.228,6.926,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,1.627,nan,3.324,nan,nan,nan,nan,nan,0.000,nan,nan,nan,13.134,nan,nan,nan
Soil11_CE_234_-3_None_T9,nan,nan,2.536,0.000,nan,nan,nan,2.558,38.370,nan,2.029,6.054,9.642,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.457,nan,2.986,nan,nan,nan,nan,nan,0.000,nan,nan,nan,9.504,nan,nan,nan
Soil11_CE_234_-50_None_T9,nan,nan,0.119,0.000,nan,nan,nan,0.000,0.989,nan,0.215,0.206,0.079,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.027,nan,1.564,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0.171,nan,nan,nan
Soil11_CE_234_-5_None_T9,nan,nan,1.748,0.000,nan,nan,nan,2.711,22.971,nan,3.558,2.714,9.749,nan,0.378,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.447,nan,3.004,nan,nan,nan,nan,nan,0.000,nan,nan,nan,7.014,nan,nan,nan
Soil11_CE_234_-8_None_T9,nan,nan,1.653,0.000,nan,nan,nan,3.461,26.819,nan,2.143,5.061,10.768,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.616,nan,1.780,nan,nan,nan,nan,nan,0.000,nan,nan,nan,9.385,nan,nan,nan
Soil11_CE_234_0_None_T9,nan,nan,0.485,0.000,nan,nan,nan,1.330,13.239,nan,2.582,4.313,3.217,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.041,nan,2.976,nan,nan,nan,nan,nan,0.000,nan,nan,nan,6.011,nan,nan,nan
Soil11_CE_234_3_None_T9,nan,nan,0.119,0.000,nan,nan,nan,0.222,3.705,nan,1.678,0.563,1.805,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.459,nan,2.266,nan,nan,nan,nan,nan,0.000,nan,nan,nan,1.921,nan,nan,nan
Soil12_CE_229_-100_None_T9,nan,nan,0.059,0.000,nan,nan,nan,0.021,1.412,nan,1.385,0.828,0.943,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.065,nan,2.217,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0.292,nan,nan,nan
Soil12_CE_229_-13_None_T9,nan,nan,0.725,0.000,nan,nan,nan,1.761,10.573,nan,9.960,6.490,9.661,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.315,nan,1.967,nan,nan,nan,nan,nan,0.000,nan,nan,nan,12.078,nan,nan,nan
Soil12_CE_229_-2_None_T9,nan,nan,1.306,0.000,nan,nan,nan,0.967,14.876,nan,8.040,10.255,9.594,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.371,nan,2.771,nan,nan,nan,nan,nan,0.000,nan,nan,nan,7.608,nan,nan,nan
Soil12_CE_229_-32_None_T9,nan,nan,1.126,0.000,nan,nan,nan,1.944,6.607,nan,7.682,2.583,5.419,nan,0.071,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,1.614,nan,nan,nan,nan,nan,0.000,nan,nan,nan,10.301,nan,nan,nan
Soil12_CE_229_-4_None_T9,nan,nan,2.369,0.000,nan,nan,nan,1.748,12.670,nan,4.532,4.826,7.149,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.211,nan,3.939,nan,nan,nan,nan,nan,0.000,nan,nan,nan,7.428,nan,nan,nan
Soil12_CE_229_-6_None_T9,nan,nan,1.587,0.000,nan,nan,nan,1.792,15.120,nan,7.096,6.764,10.938,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.277,nan,2.215,nan,nan,nan,nan,nan,0.000,nan,nan,nan,8.147,nan,nan,nan
Soil12_CE_229_-9_None_T9,nan,nan,0.564,0.000,nan,nan,nan,0.622,6.624,nan,6.030,4.832,7.468,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.317,nan,1.091,nan,nan,nan,nan,nan,0.000,nan,nan,nan,7.630,nan,nan,nan
Soil12_CE_229_0_None_T9,nan,nan,0.495,0.000,nan,nan,nan,0.545,6.284,nan,3.900,4.339,3.850,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,1.669,nan,nan,nan,nan,nan,0.000,nan,nan,nan,3.493,nan,nan,nan
