,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,4.421,0.000,nan,nan,nan,1.491,22.549,0.000,0.000,0.000,0.467,nan,0.000,0.000,0.000,3.016,0.000,0.000,0.000,nan,nan,nan,0.106,nan,0.000,nan,nan,0.000,0.000,0.000,0.180,nan,nan,nan,0.000,nan,0.000,1.487
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,3.717,0.000,nan,nan,nan,3.282,16.131,0.000,0.000,0.000,0.555,nan,0.000,0.000,0.000,1.686,0.000,0.000,0.000,nan,nan,nan,0.106,nan,0.822,nan,nan,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.000,2.155
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,4.887,0.000,nan,nan,nan,0.759,20.668,0.222,0.000,0.444,0.801,nan,0.000,0.000,0.232,3.071,0.000,0.000,0.000,nan,nan,nan,0.538,nan,0.000,nan,nan,0.000,0.000,0.197,0.180,nan,nan,nan,0.000,nan,0.401,2.350
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,4.834,0.000,nan,nan,nan,1.759,19.553,0.110,0.184,0.028,0.879,nan,0.000,0.430,0.225,2.712,0.000,0.000,0.000,nan,nan,nan,33.515,nan,0.459,nan,nan,0.000,0.000,1.099,0.180,nan,nan,nan,0.000,nan,0.000,2.456
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,3.304,0.000,nan,nan,nan,0.640,10.391,0.056,0.000,0.079,0.000,nan,0.000,0.000,0.000,1.506,0.000,0.000,0.000,nan,nan,nan,1.738,nan,0.000,nan,nan,0.000,0.000,0.097,0.450,nan,nan,nan,0.000,nan,0.000,1.477
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,4.069,0.000,nan,nan,nan,2.122,20.486,0.000,0.075,0.000,0.240,nan,0.000,1.657,0.000,2.533,0.623,0.000,0.000,nan,nan,nan,5.143,nan,0.810,nan,nan,0.000,0.000,0.349,0.616,nan,nan,nan,0.212,nan,0.000,2.585
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,8.785,0.000,nan,nan,nan,1.957,19.811,0.000,0.000,0.000,0.801,nan,0.000,0.000,0.000,3.202,0.000,0.000,0.000,nan,nan,nan,3.764,nan,0.617,nan,nan,0.000,0.000,0.296,0.989,nan,nan,nan,0.422,nan,0.000,2.150
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,8.395,0.000,nan,nan,nan,14.371,23.170,1.056,0.800,0.000,1.441,nan,0.361,0.902,0.239,6.840,0.000,0.315,0.000,nan,nan,nan,4.354,nan,0.907,nan,nan,0.000,0.000,0.000,1.441,nan,nan,nan,0.557,nan,1.000,4.079
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,4.835,0.000,nan,nan,nan,1.482,13.135,0.056,0.600,0.000,1.279,nan,0.000,2.397,0.000,2.532,0.258,0.000,0.826,nan,nan,nan,2.023,nan,0.185,nan,nan,0.000,0.000,0.099,1.980,nan,nan,nan,0.309,nan,0.000,2.150
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,10.882,0.000,nan,nan,nan,9.804,25.120,0.500,1.000,1.541,2.588,nan,0.517,2.343,0.082,8.215,0.623,1.754,1.335,nan,nan,nan,5.094,nan,1.008,nan,nan,0.000,0.000,0.783,3.879,nan,nan,nan,0.979,nan,0.334,5.181
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,5.175,0.000,nan,nan,nan,4.169,9.577,0.445,1.515,2.376,4.387,nan,0.517,1.459,1.307,5.544,2.262,2.546,2.551,nan,nan,nan,5.684,nan,2.561,nan,nan,0.000,0.000,1.256,5.069,nan,nan,nan,1.190,nan,0.000,4.057
Soil17_CE_251_N3_0_None_No_Nitrate_T9,nan,nan,4.461,0.000,nan,nan,nan,7.748,11.571,0.819,2.722,1.741,5.408,nan,0.000,3.559,0.568,5.695,2.153,4.238,3.066,nan,nan,nan,8.935,nan,1.651,nan,nan,0.000,0.000,1.723,4.673,nan,nan,nan,2.116,nan,1.300,2.664
