,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,nan,0.120,0.000,nan,nan,nan,2.074,4.506,0.000,0.000,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.000
Soil11_CE_234_-10_None_T9,nan,nan,1.078,0.000,nan,nan,nan,52.074,19.518,7.251,8.452,25.588,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.057,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,3.384
Soil11_CE_234_-14_None_T9,nan,nan,1.319,0.000,nan,nan,nan,40.570,19.228,4.628,13.774,14.558,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.705,nan,nan,nan,nan,2.000,nan,nan,nan,nan,nan,nan,nan,1.643
Soil11_CE_234_-18_None_T9,nan,nan,2.761,0.000,nan,nan,nan,53.084,22.177,5.004,12.815,22.092,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.705,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,3.728
Soil11_CE_234_-25_None_T9,nan,nan,3.478,0.428,nan,nan,nan,78.763,28.117,5.401,28.220,27.053,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.176,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,2.239
Soil11_CE_234_-3_None_T9,nan,nan,1.140,0.000,nan,nan,nan,42.411,16.271,5.495,8.288,22.380,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.529,nan,nan,nan,nan,2.095,nan,nan,nan,nan,nan,nan,nan,3.404
Soil11_CE_234_-50_None_T9,nan,nan,0.240,0.000,nan,nan,nan,4.606,3.947,0.426,0.000,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.176,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,0.118
Soil11_CE_234_-5_None_T9,nan,nan,0.420,0.000,nan,nan,nan,53.118,20.651,4.537,11.924,27.305,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.705,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,2.455
Soil11_CE_234_-8_None_T9,nan,nan,0.060,0.000,nan,nan,nan,57.113,17.670,4.008,11.964,24.431,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.176,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,2.698
Soil11_CE_234_0_None_T9,nan,nan,0.480,0.000,nan,nan,nan,18.928,8.854,3.296,2.539,8.400,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.705,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,1.965
Soil11_CE_234_3_None_T9,nan,nan,0.480,0.000,nan,nan,nan,9.008,6.633,1.859,0.000,1.849,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.352,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,nan,0.944
Soil12_CE_229_-100_None_T9,nan,nan,0.660,0.000,nan,nan,nan,6.539,10.388,0.422,0.000,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.762,nan,nan,nan,nan,0.286,nan,nan,nan,nan,nan,nan,nan,0.219
Soil12_CE_229_-13_None_T9,nan,nan,0.784,0.000,nan,nan,nan,26.221,21.355,5.920,10.024,25.589,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.233,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,1.416
Soil12_CE_229_-2_None_T9,nan,nan,0.780,0.000,nan,nan,nan,18.779,12.506,6.485,4.093,14.738,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.057,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,2.227
Soil12_CE_229_-32_None_T9,nan,nan,0.480,0.000,nan,nan,nan,34.519,28.014,3.168,33.067,41.498,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.352,nan,nan,nan,nan,1.286,nan,nan,nan,nan,nan,nan,nan,1.205
Soil12_CE_229_-4_None_T9,nan,nan,0.480,0.000,nan,nan,nan,16.165,9.595,4.604,2.540,5.737,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.352,nan,nan,nan,nan,0.286,nan,nan,nan,nan,nan,nan,nan,1.974
Soil12_CE_229_-6_None_T9,nan,nan,0.780,0.443,nan,nan,nan,18.395,12.751,4.045,3.965,13.898,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.352,nan,nan,nan,nan,0.477,nan,nan,nan,nan,nan,nan,nan,3.043
Soil12_CE_229_-9_None_T9,nan,nan,0.480,0.000,nan,nan,nan,14.342,11.413,3.140,8.247,14.746,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.176,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,1.404
Soil12_CE_229_0_None_T9,nan,nan,0.120,0.000,nan,nan,nan,8.028,5.740,2.786,1.847,4.548,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.176,nan,nan,nan,nan,0.286,nan,nan,nan,nan,nan,nan,nan,1.416
Soil12_CE_229_10_None_T9,nan,nan,0.359,0.886,nan,nan,nan,6.012,7.235,1.011,0.000,1.024,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.351,nan,nan,nan,nan,0.473,nan,nan,nan,nan,nan,nan,nan,1.384
Soil12_CE_229_3_None_T9,nan,nan,0.840,0.000,nan,nan,nan,5.212,5.637,1.922,0.212,1.231,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.057,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,1.857
Soil12_CE_229_6_None_T9,nan,nan,1.020,0.000,nan,nan,nan,6.213,5.892,1.437,1.000,1.820,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,0.382,nan,nan,nan,nan,nan,nan,nan,1.887
Soil14_CE_251_N2_-23_None_T9,nan,nan,0.180,0.000,nan,nan,nan,26.588,19.472,2.390,15.554,27.419,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.236
Soil14_CE_251_N2_-2_None_T9,nan,nan,0.480,0.000,nan,nan,nan,20.532,11.713,3.183,4.021,15.792,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.410,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,2.015
Soil14_CE_251_N2_-5_None_T9,nan,nan,0.480,0.443,nan,nan,nan,23.364,12.005,3.194,3.421,17.598,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.937,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,1.184
Soil14_CE_251_N2_-8_None_T9,nan,nan,0.960,0.443,nan,nan,nan,31.469,15.189,5.223,8.293,20.687,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.352,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,1.342
Soil14_CE_251_N2_-90_None_T9,nan,nan,0.118,0.000,nan,nan,nan,1.655,3.027,0.000,0.000,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.881,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,0.118
Soil14_CE_251_N2_0_None_T9,nan,nan,0.540,0.000,nan,nan,nan,33.861,15.093,3.833,7.212,13.109,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.410,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,1.903
Soil14_CE_251_N2_14_None_T9,nan,nan,0.600,0.000,nan,nan,nan,4.334,5.157,0.745,0.000,1.434,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.762,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,0.440
