,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,nan,0.000,0.000,nan,nan,nan,6.569,11.689,0.105,0.000,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.352,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.236
Soil11_CE_234_-10_None_T9,nan,nan,0.360,0.000,nan,nan,nan,67.572,28.484,14.535,4.576,40.311,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.807,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,5.768
Soil11_CE_234_-14_None_T9,nan,nan,1.140,0.000,nan,nan,nan,63.106,22.421,12.347,4.095,39.312,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.705,nan,nan,nan,nan,0.288,nan,nan,nan,nan,nan,nan,nan,7.526
Soil11_CE_234_-18_None_T9,nan,nan,1.921,0.000,nan,nan,nan,87.952,25.883,13.903,4.835,50.022,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.057,nan,nan,nan,nan,0.074,nan,nan,nan,nan,nan,nan,nan,9.027
Soil11_CE_234_-25_None_T9,nan,nan,1.620,0.443,nan,nan,nan,127.466,33.464,11.104,7.663,91.440,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.114,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,16.016
Soil11_CE_234_-3_None_T9,nan,nan,0.776,0.000,nan,nan,nan,64.191,29.489,10.553,1.853,39.376,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.705,nan,nan,nan,nan,1.095,nan,nan,nan,nan,nan,nan,nan,8.207
Soil11_CE_234_-50_None_T9,nan,nan,0.119,0.000,nan,nan,nan,8.177,11.636,0.161,0.000,0.410,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.176,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,nan,0.236
Soil11_CE_234_-5_None_T9,nan,nan,0.660,0.000,nan,nan,nan,69.720,26.348,8.140,3.433,41.883,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.233,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,7.433
Soil11_CE_234_-8_None_T9,nan,nan,0.420,0.000,nan,nan,nan,86.533,26.470,10.161,4.867,50.981,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.938,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,nan,7.213
Soil11_CE_234_0_None_T9,nan,nan,0.540,0.000,nan,nan,nan,31.653,16.877,6.372,2.143,15.179,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.233,nan,nan,nan,nan,0.384,nan,nan,nan,nan,nan,nan,nan,2.820
