,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,nan,0.587,0.000,0.000,nan,nan,nan,2.342,0.289,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-10_CHL_T9,nan,0.978,0.000,0.000,nan,nan,nan,2.663,0.584,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-14_CHL_T9,nan,0.587,0.000,0.000,nan,nan,nan,2.039,1.312,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-18_CHL_T9,nan,0.489,0.000,0.000,nan,nan,nan,2.703,0.676,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.090,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-25_CHL_T9,nan,0.685,0.000,0.000,nan,nan,nan,1.533,0.295,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-3_CHL_T9,nan,0.587,0.000,0.000,nan,nan,nan,2.393,0.833,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-50_CHL_T9,nan,0.978,0.000,0.000,nan,nan,nan,1.412,0.584,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.751,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-5_CHL_T9,nan,0.587,0.000,0.000,nan,nan,nan,3.031,0.952,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.302,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-8_CHL_T9,nan,2.347,0.059,0.000,nan,nan,nan,9.160,2.293,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.179,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_0_CHL_T9,nan,0.196,0.000,0.000,nan,nan,nan,2.502,1.266,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_3_CHL_T9,nan,0.685,0.000,0.000,nan,nan,nan,2.058,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-100_CHL_T9,nan,1.078,0.179,0.000,nan,nan,nan,0.807,0.590,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-13_CHL_T9,nan,0.782,0.059,0.000,nan,nan,nan,1.217,0.728,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
