,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,7.259,11.132,4.961,0.000,1.494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.264,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,2.504
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,15.354,20.877,6.556,0.072,2.058,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,1.285,nan,nan,nan,nan,nan,nan,nan,2.536
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,0.118,0.000,nan,nan,nan,4.261,5.990,3.903,0.000,0.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.396,nan,nan,nan,nan,nan,nan,0.379,nan,nan,nan,nan,nan,nan,nan,1.328
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,6.070,7.403,7.025,0.087,0.763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.198,nan,nan,nan,nan,nan,nan,0.474,nan,nan,nan,nan,nan,nan,nan,2.810
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,3.851,5.220,3.715,0.000,0.412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.264,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,1.775
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,17.054,11.177,7.540,0.222,2.642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.463,nan,nan,nan,nan,nan,nan,0.474,nan,nan,nan,nan,nan,nan,nan,2.288
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,0.118,0.000,nan,nan,nan,15.955,11.696,7.426,0.000,7.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.594,nan,nan,nan,nan,nan,nan,1.231,nan,nan,nan,nan,nan,nan,nan,2.693
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,82.229,67.884,15.368,1.121,61.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.727,nan,nan,nan,nan,nan,nan,0.854,nan,nan,nan,nan,nan,nan,nan,4.807
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,0.059,0.000,nan,nan,nan,5.690,6.088,4.678,0.000,1.016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.660,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,2.844
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,1.059,1.000,nan,nan,nan,49.927,38.038,14.532,0.091,25.829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.388,nan,nan,nan,nan,nan,nan,0.474,nan,nan,nan,nan,nan,nan,nan,6.823
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,0.059,0.000,nan,nan,nan,13.729,8.460,6.597,0.222,2.050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.463,nan,nan,nan,nan,nan,nan,0.569,nan,nan,nan,nan,nan,nan,nan,3.425
Soil17_CE_251_N3_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,39.498,27.384,8.711,0.666,14.907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.264,nan,nan,nan,nan,nan,nan,0.285,nan,nan,nan,nan,nan,nan,nan,2.745
Soil3_CE_239_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,14.029,14.590,2.939,0.010,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000,nan,nan,nan,nan,nan,nan,2.000,nan,nan,nan,nan,nan,nan,nan,1.884
