,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,6.556,0.000,nan,nan,6.052,7.489,4.328,1.702,0.029,0.000,1.401,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.316,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,5.081,nan,nan,0.123
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,10.059,0.443,nan,nan,10.076,12.245,6.959,1.621,1.110,1.000,1.420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.909,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,6.672,nan,nan,0.123
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,4.090,0.000,nan,nan,8.546,8.968,4.485,2.870,0.253,0.000,0.904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.607,nan,nan,nan,nan,nan,nan,0.963,nan,nan,nan,nan,8.076,nan,nan,0.123
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,3.778,0.443,nan,nan,12.129,10.062,6.458,3.239,1.291,0.000,1.016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.281,nan,nan,nan,nan,nan,nan,2.197,nan,nan,nan,nan,8.755,nan,nan,1.477
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,3.270,0.000,nan,nan,4.788,6.090,2.548,1.763,0.115,0.000,0.749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.307,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,8.017,nan,nan,0.246
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,3.128,0.000,nan,nan,8.134,7.343,4.493,2.620,0.394,0.000,0.768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.175,nan,nan,nan,nan,nan,nan,0.197,nan,nan,nan,nan,8.528,nan,nan,0.395
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,8.795,0.000,nan,nan,13.445,10.764,5.381,2.092,0.351,0.000,0.371,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.449,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,10.047,nan,nan,0.369
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,9.771,0.000,nan,nan,44.924,20.986,9.693,2.526,0.100,0.000,1.935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.808,nan,nan,nan,nan,nan,nan,0.296,nan,nan,nan,nan,15.002,nan,nan,0.123
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,5.634,0.000,nan,nan,8.487,10.473,4.359,1.389,0.297,0.000,0.701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.450,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,7.686,nan,nan,0.737
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,7.016,0.443,nan,nan,34.623,16.774,7.030,2.291,0.532,0.000,2.262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.336,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,16.445,nan,nan,0.123
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,7.922,0.000,nan,nan,15.623,11.276,5.126,1.807,0.124,0.000,1.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.348,nan,nan,nan,nan,nan,nan,0.493,nan,nan,nan,nan,10.664,nan,nan,0.123
Soil17_CE_251_N3_0_None_No_Nitrate_T9,nan,nan,3.781,0.443,nan,nan,24.956,10.009,6.879,1.104,0.253,0.000,0.764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.745,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,9.883,nan,nan,0.123
Soil3_CE_239_0_CHL_No_Nitrate_T9,nan,nan,6.135,0.443,nan,nan,5.835,2.801,2.786,2.961,0.000,0.000,1.684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.748,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,3.095,nan,nan,0.000
Soil3_CE_239_0_None_No_Nitrate_T9,nan,nan,5.453,0.000,nan,nan,4.351,3.996,2.942,3.371,0.000,0.000,1.143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.115,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,2.592,nan,nan,0.000
Soil5_CE_201_0_CHL_No_Nitrate_T9,nan,nan,2.774,0.000,nan,nan,2.420,3.168,1.632,0.661,0.041,0.000,0.460,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.325,nan,nan,nan,nan,nan,nan,0.296,nan,nan,nan,nan,1.924,nan,nan,0.000
Soil5_CE_201_0_None_No_Nitrate_T9,nan,nan,7.322,2.000,nan,nan,7.784,6.283,2.263,3.203,0.126,0.000,0.249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.655,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,2.832,nan,nan,2.123
Soil6_CE_73_0_CHL_No_Nitrate_T9,nan,nan,7.182,0.000,nan,nan,9.634,6.303,4.447,2.650,0.000,0.000,1.171,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.793,nan,nan,nan,nan,nan,nan,0.197,nan,nan,nan,nan,5.037,nan,nan,0.246
Soil6_CE_73_0_None_No_Nitrate_T9,nan,nan,5.197,0.000,nan,nan,11.591,6.861,4.725,2.216,0.135,0.000,1.619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.241,nan,nan,nan,nan,nan,nan,1.392,nan,nan,nan,nan,4.567,nan,nan,0.000
Soil9_CE_277_0_CHL_No_Nitrate_T9,nan,nan,6.504,0.000,nan,nan,15.459,11.070,4.739,2.149,0.276,0.000,1.462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.644,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,5.649,nan,nan,0.246
Soil9_CE_277_0_None_No_Nitrate_T9,nan,nan,10.114,1.000,nan,nan,42.898,36.524,11.354,3.656,0.500,0.000,2.632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.655,nan,nan,nan,nan,nan,nan,1.197,nan,nan,nan,nan,14.558,nan,nan,1.737
