,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,nan,2.474,0.000,nan,nan,nan,0.568,14.528,0.111,0.000,0.000,0.160,nan,0.000,0.000,0.000,1.806,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.000,nan,nan,0.000,0.000,0.099,0.090,nan,nan,nan,0.000,nan,0.000,1.705
Soil12_CE_229_0_None_T0,nan,nan,5.482,0.000,nan,nan,nan,1.370,22.672,0.278,1.052,0.925,0.950,nan,0.000,1.764,0.075,2.773,0.311,0.000,0.000,nan,nan,nan,1.509,nan,0.823,nan,nan,0.000,0.000,0.240,0.935,nan,nan,nan,0.000,nan,1.271,2.667
Soil14_CE_251_N2_0_None_T0,nan,nan,3.954,0.000,nan,nan,nan,0.880,14.790,0.081,0.200,0.000,0.240,nan,0.000,0.000,0.000,1.868,0.311,1.096,0.000,nan,nan,nan,1.173,nan,0.000,nan,nan,0.000,0.000,0.099,0.360,nan,nan,nan,0.070,nan,0.804,1.850
Soil15_CE_251_N5_0_None_T0,nan,nan,7.191,0.775,nan,nan,nan,2.373,21.811,0.111,1.189,0.838,0.881,nan,0.000,1.030,0.710,4.658,0.419,1.062,0.060,nan,nan,nan,1.844,nan,0.308,nan,nan,0.000,0.000,0.262,1.942,nan,nan,nan,0.000,nan,0.423,2.770
Soil16_CE_251_N6_0_None_T0,nan,nan,11.789,0.000,nan,nan,nan,5.050,24.168,0.278,2.334,1.228,3.674,nan,0.259,1.689,0.246,7.000,0.000,1.162,3.042,nan,nan,nan,4.197,nan,0.962,nan,nan,0.000,0.000,0.680,4.222,nan,nan,nan,0.910,nan,1.252,5.363
Soil17_CE_251_N3_0_None_T0,nan,nan,6.683,0.000,nan,nan,nan,1.697,14.403,0.219,0.000,0.000,0.557,nan,0.000,0.286,0.157,4.340,0.796,0.000,0.000,nan,nan,nan,2.866,nan,0.000,nan,nan,0.000,0.000,0.296,1.339,nan,nan,nan,0.142,nan,0.000,2.217
Soil3_CE_239_0_None_T0,nan,nan,2.182,0.000,nan,nan,nan,0.601,7.170,0.000,0.000,0.000,0.080,nan,0.000,0.000,0.000,0.543,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.000,nan,nan,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.000,0.739
Soil5_CE_201_0_None_T0,nan,nan,2.477,0.000,nan,nan,nan,0.884,12.890,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,1.263,0.000,0.000,0.000,nan,nan,nan,0.106,nan,0.000,nan,nan,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.000,1.046
Soil6_CE_73_0_None_T0,nan,nan,5.205,0.000,nan,nan,nan,1.608,26.704,0.000,0.000,0.000,0.628,nan,0.000,0.000,0.000,1.384,0.623,0.000,0.000,nan,nan,nan,0.317,nan,0.000,nan,nan,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.000,2.890
Soil9_CE_277_0_None_T0,nan,nan,5.012,0.000,nan,nan,nan,1.926,28.420,0.000,0.000,0.000,0.398,nan,0.000,0.657,0.000,3.013,0.000,0.000,0.000,nan,nan,nan,0.534,nan,0.000,nan,nan,0.000,0.000,0.000,0.180,nan,nan,nan,0.310,nan,0.498,2.030
