,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,6.266,8.869,3.825,1.000,2.023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.201,nan,nan,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,1.674
Soil12_CE_229_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,3.299,7.731,6.168,0.214,0.203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.805,nan,nan,nan,nan,nan,nan,0.664,nan,nan,nan,nan,nan,nan,nan,2.973
Soil14_CE_251_N2_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,6.485,7.593,4.535,0.018,1.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.474,nan,nan,nan,nan,nan,nan,nan,2.799
Soil15_CE_251_N5_0_None_T0,nan,nan,0.178,0.620,nan,nan,nan,14.116,9.376,7.595,0.000,4.486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.392,nan,nan,nan,nan,nan,nan,0.854,nan,nan,nan,nan,nan,nan,nan,3.985
Soil16_CE_251_N6_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,11.488,11.688,10.429,0.000,5.559,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.728,nan,nan,nan,nan,nan,nan,0.854,nan,nan,nan,nan,nan,nan,nan,4.415
Soil17_CE_251_N3_0_None_T0,nan,nan,0.114,0.000,nan,nan,nan,10.470,9.716,5.973,0.563,6.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.592,nan,nan,nan,nan,nan,nan,0.379,nan,nan,nan,nan,nan,nan,nan,2.622
Soil3_CE_239_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,4.405,5.244,0.866,0.000,0.406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.828
Soil5_CE_201_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,5.761,6.582,2.269,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.198,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,0.717
Soil6_CE_73_0_None_T0,nan,nan,0.182,0.132,nan,nan,nan,9.107,13.443,5.519,0.429,0.428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.462,nan,nan,nan,nan,nan,nan,0.285,nan,nan,nan,nan,nan,nan,nan,1.511
Soil9_CE_277_0_None_T0,nan,nan,0.000,0.000,nan,nan,nan,11.937,18.666,8.371,0.000,1.255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.463,nan,nan,nan,nan,nan,nan,0.285,nan,nan,nan,nan,nan,nan,nan,2.633
