,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,nan,15.264,0.000,nan,nan,nan,nan,nan,0.335,nan,nan,3.563,nan,nan,0.000,0.072,20.423,0.000,0.000,0.000,nan,nan,nan,0.547,nan,3.209,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.348,nan,nan,nan
Soil12_CE_229_0_None_T0,nan,nan,22.273,0.000,nan,nan,nan,nan,nan,1.779,nan,nan,0.625,nan,nan,0.000,0.000,35.863,0.340,0.868,1.000,nan,nan,nan,0.438,nan,3.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.208,nan,nan,nan
Soil14_CE_251_N2_0_None_T0,nan,nan,18.764,0.447,nan,nan,nan,nan,nan,1.971,nan,nan,1.939,nan,nan,1.412,0.427,44.708,0.692,1.000,1.000,nan,nan,nan,3.066,nan,6.435,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.911,nan,nan,nan
Soil15_CE_251_N5_0_None_T0,nan,nan,33.957,2.000,nan,nan,nan,nan,nan,2.936,nan,nan,26.448,nan,nan,3.158,0.358,122.631,4.458,2.000,1.000,nan,nan,nan,3.613,nan,8.113,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.883,nan,nan,nan
Soil16_CE_251_N6_0_None_T0,nan,nan,39.035,0.899,nan,nan,nan,nan,nan,4.193,nan,nan,11.745,nan,nan,3.198,0.284,130.982,2.006,2.000,1.000,nan,nan,nan,3.285,nan,15.841,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.345,nan,nan,nan
Soil17_CE_251_N3_0_None_T0,nan,nan,26.664,0.000,nan,nan,nan,nan,nan,3.013,nan,nan,18.588,nan,nan,7.106,1.143,89.652,4.970,0.000,0.000,nan,nan,nan,6.690,nan,15.729,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.660,nan,nan,nan
Soil3_CE_239_0_None_T0,nan,nan,8.478,0.000,nan,nan,nan,nan,nan,0.054,nan,nan,0.468,nan,nan,0.000,0.000,6.308,3.000,0.000,0.000,nan,nan,nan,0.219,nan,1.514,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.139,nan,nan,nan
Soil5_CE_201_0_None_T0,nan,nan,9.652,0.000,nan,nan,nan,nan,nan,0.054,nan,nan,2.149,nan,nan,0.000,0.000,12.779,1.000,1.000,0.000,nan,nan,nan,0.438,nan,1.329,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.043,nan,nan,nan
Soil6_CE_73_0_None_T0,nan,nan,25.642,0.000,nan,nan,nan,nan,nan,0.707,nan,nan,2.172,nan,nan,0.000,0.000,30.951,1.336,1.000,1.000,nan,nan,nan,1.204,nan,7.928,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.626,nan,nan,nan
Soil9_CE_277_0_None_T0,nan,nan,25.290,0.000,nan,nan,nan,nan,nan,1.043,nan,nan,7.068,nan,nan,1.000,1.000,29.670,1.000,1.000,1.000,nan,nan,nan,1.657,nan,7.793,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.668,nan,nan,nan
