,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,nan,nan,0.000,0.794,nan,nan,nan,0.040,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.061,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.055,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-10_CHL_T9,nan,nan,0.000,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.133,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-14_CHL_T9,nan,nan,0.000,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.061,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-18_CHL_T9,nan,nan,0.000,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.061,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.276,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-25_CHL_T9,nan,nan,0.119,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.097,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-3_CHL_T9,nan,nan,0.238,0.000,nan,nan,nan,0.189,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.061,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-50_CHL_T9,nan,nan,0.000,0.604,nan,nan,nan,0.081,0.293,nan,0.000,0.000,nan,nan,nan,nan,nan,0.121,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.267,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-5_CHL_T9,nan,nan,0.000,0.000,nan,nan,nan,0.159,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.061,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.199,0.000,0.102,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-8_CHL_T9,nan,nan,0.171,0.853,nan,nan,nan,0.170,0.269,nan,0.376,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.176,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_0_CHL_T9,nan,nan,0.178,0.000,nan,nan,nan,0.000,0.064,nan,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
