,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,0.059,0.000,nan,nan,nan,0.436,3.218,nan,2.817,0.787,1.571,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.262,nan,4.034,nan,nan,nan,nan,nan,0.000,nan,nan,nan,2.304,nan,nan,nan
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,0.610,0.000,nan,nan,nan,0.519,7.200,nan,0.431,0.921,2.278,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.083,nan,1.112,nan,nan,nan,nan,nan,0.000,nan,nan,nan,2.416,nan,nan,nan
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.213,2.844,nan,1.043,3.338,1.414,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.106,nan,1.255,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0.229,nan,nan,nan
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,0.475,0.000,nan,nan,nan,0.052,4.322,nan,0.866,3.567,2.039,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.303,nan,2.171,nan,nan,nan,nan,nan,0.000,nan,nan,nan,1.584,nan,nan,nan
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,0.120,0.447,nan,nan,nan,0.218,1.842,nan,0.646,1.965,1.101,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,1.255,nan,nan,nan,nan,nan,0.000,nan,nan,nan,1.763,nan,nan,nan
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,0.488,0.000,nan,nan,nan,0.951,6.429,nan,2.268,3.800,3.862,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,2.691,nan,nan,nan,nan,nan,0.000,nan,nan,nan,5.491,nan,nan,nan
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,0.686,0.399,nan,nan,nan,0.871,7.360,nan,2.596,6.865,4.008,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.106,nan,3.669,nan,nan,nan,nan,nan,0.000,nan,nan,nan,4.019,nan,nan,nan
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,2.407,0.000,nan,nan,nan,4.370,32.219,nan,17.943,18.631,8.254,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.441,nan,6.874,nan,nan,nan,nan,nan,0.000,nan,nan,nan,18.395,nan,nan,nan
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,0.987,0.000,nan,nan,nan,0.460,5.539,nan,1.927,5.311,4.871,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,nan,3.954,nan,nan,nan,nan,nan,0.000,nan,nan,nan,2.143,nan,nan,nan
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,2.262,0.000,nan,nan,nan,5.642,44.607,nan,9.509,13.090,12.525,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.097,nan,5.143,nan,nan,nan,nan,nan,0.000,nan,nan,nan,17.908,nan,nan,nan
