,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.081,0.000,nan,0.000,0.446,nan,nan,nan,nan,nan,0.000,0.000,0.597,nan,0.000,0.000,0.000,nan,nan,nan,0.203,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.000,0.098,nan,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,0.050,0.000,0.000,nan,nan,nan,0.095,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.151,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.208,0.133,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_0_None_No_Nitrate_T9,nan,nan,0.174,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.121,0.000,0.000,nan,0.104,0.000,0.000,nan,nan,nan,0.000,nan,0.000,0.000,0.189,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.081,0.000,nan,0.451,0.000,nan,nan,nan,nan,nan,0.201,0.000,0.000,nan,0.000,0.000,0.253,nan,nan,nan,0.182,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,nan,0.118,0.000,nan,nan,nan,0.000,0.000,nan,0.463,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,0.099,0.000,0.000,nan,nan,nan,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,nan,0.116,0.000,nan,nan,nan,0.119,0.421,nan,0.358,0.000,nan,nan,nan,nan,nan,0.121,0.967,0.000,nan,0.000,0.000,0.000,nan,nan,nan,0.175,nan,0.305,0.000,0.053,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,nan,0.057,0.000,nan,nan,nan,0.040,0.000,nan,0.213,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,0.000,0.000,0.000,nan,nan,nan,0.091,nan,0.105,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.000,nan,nan,nan,nan,nan,0.121,0.000,0.000,nan,0.152,0.000,0.000,nan,nan,nan,0.179,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,nan,0.000,0.000,nan,nan,nan,0.081,0.162,nan,0.339,0.090,nan,nan,nan,nan,nan,0.061,0.000,0.000,nan,0.000,0.000,0.000,nan,nan,nan,0.000,nan,0.315,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,nan,nan,0.059,0.000,nan,nan,nan,0.000,0.000,nan,0.000,0.319,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,0.000,0.000,0.000,nan,nan,nan,0.091,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
