,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,nan,0.480,0.000,nan,nan,nan,4.738,3.921,0.373,0.212,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.410,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,1.101
Soil12_CE_229_0_None_T0,nan,nan,0.300,0.000,nan,nan,nan,6.927,5.508,2.246,0.000,1.024,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.057,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,2.687
Soil14_CE_251_N2_0_None_T0,nan,nan,0.359,0.000,nan,nan,nan,5.719,4.411,1.215,0.847,2.049,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.529,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,0.635
Soil15_CE_251_N5_0_None_T0,nan,nan,0.901,0.000,nan,nan,nan,22.156,10.964,3.188,6.369,17.617,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.291,nan,nan,nan,nan,0.382,nan,nan,nan,nan,nan,nan,nan,0.813
Soil16_CE_251_N6_0_None_T0,nan,nan,3.020,2.000,nan,nan,nan,15.606,9.872,4.675,5.091,14.216,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.114,nan,nan,nan,nan,0.286,nan,nan,nan,nan,nan,nan,nan,1.812
Soil17_CE_251_N3_0_None_T0,nan,nan,0.838,0.000,nan,nan,nan,16.602,8.110,1.437,3.388,9.938,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.467,nan,nan,nan,nan,1.382,nan,nan,nan,nan,nan,nan,nan,0.236
Soil3_CE_239_0_None_T0,nan,nan,0.360,0.000,nan,nan,nan,2.082,2.241,0.373,0.212,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.348
Soil5_CE_201_0_None_T0,nan,nan,0.360,0.000,nan,nan,nan,2.882,4.039,0.213,0.000,0.410,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,0.109
Soil6_CE_73_0_None_T0,nan,nan,0.540,0.000,nan,nan,nan,6.665,9.186,2.654,1.000,1.205,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.348,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,1.153
Soil9_CE_277_0_None_T0,nan,nan,0.720,0.000,nan,nan,nan,10.871,8.371,2.618,1.482,4.303,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.410,nan,nan,nan,nan,0.191,nan,nan,nan,nan,nan,nan,nan,0.939
