,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,nan,0.000,0.000,nan,nan,nan,1.943,5.852,0.762,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,0.869
Soil11_CE_234_-10_None_T9,nan,nan,0.059,0.000,nan,nan,nan,67.337,88.091,19.683,0.246,11.815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.603,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,9.497
Soil11_CE_234_-14_None_T9,nan,nan,0.059,0.687,nan,nan,nan,57.698,105.177,22.681,0.284,4.992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.069,nan,nan,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,6.280
Soil11_CE_234_-18_None_T9,nan,nan,0.000,0.000,nan,nan,nan,61.962,112.343,26.703,0.446,6.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.330,nan,nan,nan,nan,nan,nan,0.285,nan,nan,nan,nan,nan,nan,nan,5.580
Soil11_CE_234_-25_None_T9,nan,nan,0.178,0.000,nan,nan,nan,64.067,134.897,31.706,0.992,6.609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,8.923
Soil11_CE_234_-3_None_T9,nan,nan,0.168,0.000,nan,nan,nan,45.619,71.823,17.773,0.391,12.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.379,nan,nan,nan,nan,nan,nan,nan,5.542
Soil11_CE_234_-50_None_T9,nan,nan,0.000,0.000,nan,nan,nan,4.043,6.438,1.367,0.000,0.203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.396,nan,nan,nan,nan,nan,nan,0.095,nan,nan,nan,nan,nan,nan,nan,0.833
Soil11_CE_234_-5_None_T9,nan,nan,0.118,0.000,nan,nan,nan,45.447,71.534,16.547,0.085,10.178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.198,nan,nan,nan,nan,nan,nan,0.664,nan,nan,nan,nan,nan,nan,nan,4.976
Soil11_CE_234_-8_None_T9,nan,nan,0.000,0.000,nan,nan,nan,63.058,102.512,18.438,1.425,11.448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.130,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,4.522
Soil11_CE_234_0_None_T9,nan,nan,0.000,0.000,nan,nan,nan,19.355,27.875,8.931,0.007,3.676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.198,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,3.252
Soil11_CE_234_3_None_T9,nan,nan,0.000,0.000,nan,nan,nan,9.367,13.190,5.770,0.222,0.424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.465,nan,nan,nan,nan,nan,nan,0.190,nan,nan,nan,nan,nan,nan,nan,1.970
Soil12_CE_229_-100_None_T9,nan,nan,0.000,0.000,nan,nan,nan,4.807,12.983,4.083,0.000,0.221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.330,nan,nan,nan,nan,nan,nan,0.285,nan,nan,nan,nan,nan,nan,nan,0.494
