,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil9_CE_277_-10_CHL_T9,nan,nan,43.077,48.153,nan,nan,nan,61.655,65.225,nan,55.223,53.226,nan,nan,nan,nan,nan,34.506,36.138,34.156,nan,48.388,36.050,39.535,nan,nan,nan,34.933,nan,39.305,39.666,44.882,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-13_CHL_T9,nan,nan,43.789,43.224,nan,nan,nan,54.551,55.360,nan,43.410,52.531,nan,nan,nan,nan,nan,30.966,22.056,24.608,nan,39.114,41.366,37.312,nan,nan,nan,27.847,nan,34.644,37.703,29.266,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-16_CHL_T9,nan,nan,43.381,47.325,nan,nan,nan,66.398,67.885,nan,64.469,63.896,nan,nan,nan,nan,nan,38.053,42.388,30.243,nan,49.383,45.514,40.388,nan,nan,nan,31.823,nan,49.162,51.216,39.085,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-20_CHL_T9,nan,nan,37.287,38.181,nan,nan,nan,56.211,56.934,nan,61.847,48.454,nan,nan,nan,nan,nan,32.766,24.312,34.236,nan,37.239,38.663,39.190,nan,nan,nan,33.735,nan,36.653,38.425,34.217,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-28_CHL_T9,nan,nan,39.387,41.169,nan,nan,nan,57.541,55.839,nan,59.025,59.469,nan,nan,nan,nan,nan,36.737,32.913,33.909,nan,36.475,38.157,45.065,nan,nan,nan,39.000,nan,38.771,30.335,39.098,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-2_CHL_T9,nan,nan,34.115,26.018,nan,nan,nan,48.671,50.513,nan,45.766,43.576,nan,nan,nan,nan,nan,26.064,20.612,21.939,nan,30.231,33.185,31.710,nan,nan,nan,26.263,nan,31.825,28.929,24.746,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-5_CHL_T9,nan,nan,38.388,33.475,nan,nan,nan,54.224,59.176,nan,48.692,49.791,nan,nan,nan,nan,nan,28.377,29.942,26.977,nan,39.451,36.585,46.096,nan,nan,nan,26.512,nan,30.151,32.240,31.925,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-75_CHL_T9,nan,nan,34.029,32.816,nan,nan,nan,47.284,52.948,nan,47.965,44.389,nan,nan,nan,nan,nan,25.939,25.385,28.000,nan,31.105,38.582,26.163,nan,nan,nan,25.699,nan,29.870,27.861,31.063,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_-7_CHL_T9,nan,nan,43.300,47.288,nan,nan,nan,58.894,57.494,nan,51.256,56.862,nan,nan,nan,nan,nan,28.189,40.408,28.703,nan,41.277,36.815,45.235,nan,nan,nan,31.824,nan,34.429,30.664,32.505,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_0_CHL_T9,nan,nan,38.993,29.791,nan,nan,nan,58.343,61.567,nan,45.972,49.109,nan,nan,nan,nan,nan,29.284,31.399,31.179,nan,39.778,33.645,32.978,nan,nan,nan,30.585,nan,35.701,35.403,35.632,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_4_CHL_T9,nan,nan,43.041,32.669,nan,nan,nan,63.896,58.381,nan,54.871,56.924,nan,nan,nan,nan,nan,28.879,27.715,27.452,nan,41.556,37.272,41.089,nan,nan,nan,32.585,nan,39.558,35.237,38.018,nan,nan,nan,nan,nan,nan,nan,nan
