T0.scaffold_826610199_c1_1	T0.scaffold_826610199_c1_1	Soil17.scaffold_704643222_c1_1	K02567	22.6
T0.scaffold_170828508_c1_1	T0.scaffold_170828508_c1_1	T0.scaffold_170828508_c1_1	K02567	31.6
T0.scaffold_785029462_c1_5	T0.scaffold_785029462_c1_5	T0.scaffold_785029462_c1_5	K02567	23.1
T0.scaffold_500133190_c1_1	T0.scaffold_500133190_c1_1	T0.scaffold_500133190_c1_1	K02567	26.9
T0.scaffold_915148188_c1_1	T0.scaffold_915148188_c1_1	T0.scaffold_915148188_c1_1	K02567	29.3
T0.scaffold_133727621_c1_1	T0.scaffold_133727621_c1_1	T0.scaffold_133727621_c1_1	K02567	29.8
T0.scaffold_629956420_c1_1	T0.scaffold_629956420_c1_1	Soil16.scaffold_1132685456_c1_1	K02567	36.4
T0.scaffold_915288777_c1_1	T0.scaffold_915288777_c1_1	Soil14.scaffold_603633783_c1_1	K02567	23.2
T0.scaffold_11476034_c1_1	T0.scaffold_11476034_c1_1	T0.scaffold_11476034_c1_1	K02567	27.3
T0.scaffold_61541039_c1_1	T0.scaffold_61541039_c1_1	T0.scaffold_61541039_c1_1	K02567	31.5
T0.scaffold_831992212_c1_1	T0.scaffold_831992212_c1_1	Soil9.scaffold_399115430_c1_5	K02567	24.2
