Soil17.scaffold_239790672_c1_1	Soil17.scaffold_239790672_c1_1	Soil17.scaffold_239790672_c1_1	K02567	27.6
Soil17.scaffold_729716297_c1_1	Soil17.scaffold_729716297_c1_1	Soil17.scaffold_729716297_c1_1	K02567	28.3
Soil17.scaffold_531516977_c1_1	Soil17.scaffold_531516977_c1_1	Soil17.scaffold_531516977_c1_1	K02567	24.6
Soil17.scaffold_409719073_c1_1	Soil17.scaffold_409719073_c1_1	Soil17.scaffold_409719073_c1_1	K02567	28.1
Soil17.scaffold_840450566_c1_1	Soil17.scaffold_840450566_c1_1	Soil17.scaffold_840450566_c1_1	K02567	36.4
Soil17.scaffold_1036234763_c1_1	Soil17.scaffold_1036234763_c1_1	Soil17.scaffold_1036234763_c1_1	K02567	29.6
Soil17.scaffold_112809194_c1_1	Soil17.scaffold_112809194_c1_1	Soil17.scaffold_112809194_c1_1	K02567	24.9
Soil17.scaffold_225784986_c1_1	Soil17.scaffold_225784986_c1_1	T0.scaffold_61541039_c1_1	K02567	31.5
Soil17.scaffold_3737704_c1_1	Soil17.scaffold_3737704_c1_1	Soil17.scaffold_3737704_c1_1	K02567	26
Soil17.scaffold_541859704_c1_3	Soil17.scaffold_541859704_c1_3	Soil15.scaffold_1035979300_c1_3	K02567	26.6
Soil17.scaffold_293670699_c1_1	Soil17.scaffold_293670699_c1_1	Soil14.scaffold_883029064_c1_1	K02567	22
Soil17.scaffold_285543800_c1_1	Soil17.scaffold_285543800_c1_1	Soil17.scaffold_285543800_c1_1	K02567	26.3
Soil17.scaffold_475470907_c1_1	Soil17.scaffold_475470907_c1_1	Soil17.scaffold_475470907_c1_1	K02567	27.9
Soil17.scaffold_377187607_c1_1	Soil17.scaffold_377187607_c1_1	Soil17.scaffold_377187607_c1_1	K02567	23.1
Soil17.scaffold_1298667718_c1_1	Soil17.scaffold_1298667718_c1_1	Soil17.scaffold_1298667718_c1_1	K02567	21.7
Soil17.scaffold_1160208197_c1_1	Soil17.scaffold_1160208197_c1_1	Soil17.scaffold_1160208197_c1_1	K02567	24.3
Soil17.scaffold_704643222_c1_1	Soil17.scaffold_704643222_c1_1	Soil17.scaffold_704643222_c1_1	K02567	22.6
Soil17.scaffold_541859705_c1_1	Soil17.scaffold_541859705_c1_1	Soil17.scaffold_541859705_c1_1	K02567	27.8
