0.579281	0.558356	0.842353	0.873279	0.792053	0.800537	0.833741	0.814481	0.830194	0.798920
0.531677	0.540023	0.810180	0.863169	0.824104	0.870658	0.869565	0.901457	0.909183	0.858401
0.240222	0.429783	0.670175	0.668967	0.735312	0.746807	0.759754	0.686472	0.766617	0.636528
0.332004	0.688785	0.598322	0.743669	0.766064	0.712325	0.701511	0.680355	0.686809	0.677749
0.639985	0.710534	0.789493	0.892396	0.958682	0.977049	1.013192	0.955926	0.961514	0.681654
0.313506	0.429226	0.490603	0.568012	0.611927	0.596916	0.629783	0.630054	0.674485	0.663818
0.047142	0.147243	0.277793	0.470247	0.626758	0.736858	0.861364	0.847643	0.910833	0.822174
0.277122	0.394345	0.405518	0.432897	0.509607	0.716442	0.992697	1.114357	1.295147	0.074596
0.207809	0.275599	0.256329	0.305000	0.297774	0.462861	0.681363	0.903557	0.868151	0.861374
0.001000	0.057475	0.225019	0.271114	0.173288	0.345446	0.444787	0.705503	0.693397	0.192894
