0.001000	0.139854	0.084608	0.242051	0.269398	0.471568	0.539911	0.791100	0.806770	1.113772
0.181887	0.292008	0.259716	0.433730	0.467788	0.530720	0.563413	0.616748	0.778709	0.781971
0.196718	0.201740	0.290536	0.347232	0.532146	0.665993	0.714036	0.780749	0.871212	1.601629
0.141924	0.449612	0.449008	0.613798	0.839598	0.795792	0.988024	0.923150	0.974849	1.037959
0.341004	0.477705	0.538114	0.538457	0.689138	0.614556	0.656663	0.705961	0.753762	1.098171
0.571812	0.624348	0.609295	0.667912	0.739824	0.789439	0.870792	0.915711	1.150272	1.484009
0.559834	0.567226	0.575768	0.611029	0.636456	0.734069	0.761854	0.782633	0.872529	1.156869
0.483605	0.624406	0.644501	0.667023	0.730643	0.758642	0.820460	0.921777	1.020630	1.234689
0.667917	0.672719	0.715781	0.758198	0.911755	0.988885	0.934692	0.988736	1.205263	1.232584
0.385491	0.563368	0.733734	0.774238	0.866754	0.836975	1.166330	1.266090	1.745782	1.570549
