0.000010	0.005682	0.022499	0.027110	0.017324	0.034520	0.044265	0.069483	0.068264	0.018797	0.001254
0.020778	0.027557	0.025630	0.030498	0.029774	0.046249	0.067742	0.089584	0.085947	0.085441	0.023455
0.027710	0.039434	0.040551	0.043289	0.050949	0.071389	0.098439	0.110480	0.128544	0.007422	0.013692
0.004642	0.014713	0.027776	0.046745	0.061935	0.072917	0.085123	0.083924	0.090170	0.081404	0.033855
0.031352	0.042923	0.049061	0.056797	0.061183	0.059617	0.062764	0.062412	0.066738	0.065562	0.043165
0.063998	0.070929	0.078610	0.088903	0.095437	0.097329	0.100819	0.095016	0.095497	0.067529	0.042729
0.033200	0.068844	0.059679	0.074309	0.076441	0.070835	0.069641	0.067363	0.067897	0.066914	0.043932
0.024018	0.042918	0.066790	0.066625	0.073133	0.074305	0.075595	0.068145	0.076133	0.062945	0.046399
0.053168	0.054003	0.081018	0.086317	0.082408	0.087045	0.086561	0.089643	0.090200	0.085079	0.059370
0.057928	0.055827	0.084192	0.087190	0.078913	0.079700	0.082985	0.081010	0.082510	0.079370	0.055396
