0.001000	0.081202	0.317715	0.383521	0.244749	0.495565	0.644791	1.006816	0.989911	0.268520
0.292853	0.388320	0.360917	0.429807	0.421991	0.669048	0.999776	1.329335	1.263675	1.258742
0.391817	0.559740	0.575998	0.616365	0.735533	1.061264	1.467234	1.652013	1.936915	0.106125
0.067125	0.206647	0.393485	0.683272	0.905578	1.067650	1.247403	1.230440	1.324362	1.193838
0.449035	0.615496	0.704809	0.818947	0.885738	0.870923	0.924639	0.913770	0.973904	0.958077
0.921736	1.044903	1.166109	1.329424	1.435807	1.464928	1.516662	1.419894	1.423145	0.991416
0.470710	1.004954	0.875336	1.091171	1.135573	1.047496	1.025092	0.985145	0.991332	0.975795
0.339538	0.620372	0.983325	0.982095	1.082769	1.099549	1.118190	0.999278	1.119262	0.917471
0.757615	0.766476	1.163944	1.246004	1.191322	1.269032	1.289854	1.335129	1.335078	1.254137
0.829946	0.806412	1.239059	1.296600	1.173723	1.184087	1.235275	1.202746	1.223745	1.174173
