0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000
0.001000	0.001000	0.001000	0.001000	0.002030	0.002127	0.002509	0.001000	0.001000	0.001000	0.001000
0.001000	0.001000	0.001000	0.001000	0.005297	0.019624	0.015111	0.001000	0.002098	0.001000	0.001000
0.001000	0.001000	0.001000	0.006036	0.001000	0.001000	0.001000	0.001000	0.001000	0.002270	0.001000
0.003731	0.003926	0.009227	0.010207	0.001964	0.010192	0.004961	0.008237	0.002770	0.001838	0.001000
0.016794	0.012899	0.008493	0.016545	0.015471	0.030509	0.017391	0.016259	0.006661	0.001000	0.001000
0.046049	0.018256	0.028396	0.022836	0.022508	0.019182	0.016841	0.011835	0.007145	0.001000	0.001000
0.027656	0.013270	0.037233	0.022213	0.021983	0.023700	0.014118	0.008011	0.006352	0.001000	0.001000
0.001000	0.001417	0.008799	0.008605	0.002199	0.001737	0.001538	0.002057	0.001000	0.001000	0.001000
0.027849	0.014553	0.020467	0.020934	0.007691	0.006231	0.002985	0.001000	0.004584	0.001000	0.001000
