0.001002	0.006701	0.001000	0.001000	0.004738	0.007668	0.008960	0.013215	0.013767	0.041064	0.064750
0.001000	0.001623	0.001000	0.007573	0.009947	0.008487	0.004613	0.002264	0.010458	0.011188	0.052829
0.001000	0.001000	0.001000	0.001000	0.007309	0.009994	0.006069	0.006372	0.008841	0.077737	0.050937
0.006642	0.013992	0.009015	0.012244	0.022863	0.016070	0.022815	0.022124	0.022505	0.024859	0.039681
0.002542	0.005985	0.007591	0.005615	0.012963	0.009366	0.010985	0.014729	0.015822	0.033084	0.059531
0.006022	0.007516	0.004819	0.006104	0.009250	0.012201	0.016487	0.020054	0.027091	0.053932	0.057635
0.014385	0.004709	0.007615	0.006075	0.007149	0.014219	0.014888	0.017663	0.019144	0.032930	0.047807
0.012865	0.014221	0.010144	0.011491	0.013941	0.015253	0.018613	0.025927	0.027851	0.039988	0.061437
0.014701	0.014476	0.011155	0.012462	0.023145	0.026249	0.022880	0.022972	0.027336	0.031904	0.049152
0.001000	0.007235	0.010928	0.012222	0.019020	0.017293	0.024980	0.028557	0.046889	0.043782	0.048638
