0.001000	0.015013	0.013163	0.018738	0.019651	0.028249	0.033245	0.042933	0.043300	0.062116	0.066666
0.016055	0.020362	0.019295	0.028108	0.026486	0.030031	0.031210	0.038824	0.043761	0.044480	0.084904
0.017266	0.017315	0.020638	0.023438	0.025294	0.025296	0.027985	0.044534	0.049700	0.105885	0.072259
0.013352	0.027542	0.027671	0.028237	0.053531	0.047594	0.058772	0.058171	0.061279	0.056144	0.066870
0.016153	0.023010	0.021728	0.021011	0.039721	0.026119	0.033335	0.034085	0.043738	0.065190	0.110371
0.020479	0.025712	0.027442	0.026722	0.032050	0.029454	0.040185	0.043891	0.055323	0.111910	0.103086
0.010168	0.019637	0.016385	0.020537	0.022259	0.029869	0.029760	0.036179	0.038615	0.069932	0.083773
0.011310	0.024738	0.017866	0.024340	0.028627	0.029831	0.038418	0.048597	0.052298	0.081286	0.113758
0.043112	0.041942	0.034416	0.037515	0.057965	0.066028	0.062200	0.057298	0.068091	0.075600	0.096273
0.006024	0.019973	0.028999	0.029975	0.041724	0.041973	0.053944	0.066278	0.081248	0.090631	0.092494
