-3.311754	-0.656620	-1.406525	-0.872609	-0.065475	8.158727	8.611900	8.773684	8.845191	8.564549
-9.210340	-1.800083	-0.608672	-0.621070	0.838980	7.699577	8.746842	8.726010	8.742776	8.966805
-9.210340	-9.210340	-9.210340	-0.207669	7.184847	8.338499	8.660744	8.820267	8.868618	8.355128
0.329588	-9.210340	-9.210340	-9.210340	6.689506	8.138086	8.289150	8.700091	8.637316	8.291892
6.808169	3.750439	-0.669926	-1.070129	2.361213	7.936029	8.402817	8.473509	8.106199	7.731259
3.111783	0.847281	0.659122	0.962986	1.403282	1.383524	1.268595	8.363571	1.717749	1.405529
7.679744	1.190831	3.052312	0.417932	1.503995	0.740018	0.798573	2.074854	1.257872	1.717503
7.587863	7.614087	0.995170	0.719494	0.059700	-0.476875	0.594695	0.898685	1.383835	1.316856
7.622575	3.197852	1.319531	-0.224019	-0.841250	-0.344476	-0.186482	0.221271	0.668395	1.033714
3.114396	1.454651	0.315067	-1.205827	-1.053911	-0.601490	-0.073611	0.064834	0.186348	0.442507
