T0.scaffold_610518454_c1_1
T0.scaffold_974243036_c1_1
T0.scaffold_51752605_c1_1
Soil14.scaffold_596019752_c1_119
T0.scaffold_519767388_c1_1
T0.scaffold_327279428_c1_4
T0.scaffold_273218771_c1_2
T0.scaffold_677904738_c1_1
T0.scaffold_967757664_c1_1
Soil5.scaffold_114379860_c1_1
Soil6.scaffold_604673340_c1_1
T0.scaffold_409096425_c1_1
T0.scaffold_82084267_c1_1
T0.scaffold_50999882_c1_2
T0.scaffold_61404940_c1_1
Soil3.scaffold_63658123_c1_64
Soil11.scaffold_594580914_c1_1
T0.scaffold_1146579158_c1_1
T0.scaffold_1087053736_c1_1
Soil3.scaffold_253488375_c1_4
Soil5.scaffold_416434691_c1_48
Soil6.scaffold_509384248_c1_7
T0.scaffold_287104333_c1_1
Soil14.scaffold_1008884942_c1_1
Soil9.scaffold_766455321_c1_2
Soil3.scaffold_31685847_c1_1
Soil5.scaffold_376523767_c1_1
Soil11.scaffold_437898375_c1_1
Soil5.scaffold_352638952_c1_1
Soil5.scaffold_342438982_c1_1
Soil6.scaffold_274716451_c1_1
Soil17.scaffold_133787210_c1_1
T0.scaffold_172278247_c1_4
Soil6.scaffold_130160295_c1_1
T0.scaffold_786865677_c1_2
T0.scaffold_35062325_c1_1
Soil6.scaffold_200123076_c1_13
T0.scaffold_404095462_c1_2
Soil9.scaffold_301134466_c1_1
T0.scaffold_1143557678_c1_1
T0.scaffold_684329388_c1_1
Soil9.scaffold_175774837_c1_4
T0.scaffold_646082895_c1_1
T0.scaffold_528548689_c1_2
Soil3.scaffold_352165548_c1_1
T0.scaffold_844742415_c1_1
Soil11.scaffold_402009592_c1_1
Soil9.scaffold_607424851_c1_3
T0.scaffold_149589548_c1_1
Soil12.scaffold_898807201_c1_1
Soil6.scaffold_138360071_c1_1
Soil16.scaffold_284770402_c1_10
Soil12.scaffold_511848277_c1_1
Soil9.scaffold_463652061_c1_3
Soil9.scaffold_2866533_c1_1
Soil17.scaffold_146768584_c1_1
Soil9.scaffold_517173497_c1_1
Soil5.scaffold_444305363_c1_1
Soil16.scaffold_1385083464_c1_1
Soil11.scaffold_589122127_c1_1
Soil11.scaffold_231814530_c1_1
T0.scaffold_771045130_c1_5
Soil11.scaffold_287640331_c1_2
Soil6.scaffold_441881540_c1_4
Soil16.scaffold_804923086_c1_3
Soil6.scaffold_645328969_c1_1
Soil17.scaffold_576147551_c1_1
Soil11.scaffold_65427810_c1_20
Soil12.scaffold_666676376_c1_1
Soil6.scaffold_228720199_c1_2
Soil15.scaffold_1258541897_c1_1
T0.scaffold_685359621_c1_1
Soil17.scaffold_694072686_c1_1
Soil9.scaffold_308765924_c1_1
T0.scaffold_40396025_c1_1
T0.scaffold_768735077_c1_1
Soil5.scaffold_179483344_c1_1
T0.scaffold_768573759_c1_1
T0.scaffold_914934534_c1_1
T0.scaffold_1052029150_c1_1
T0.scaffold_561169257_c1_1
T0.scaffold_76076085_c1_1
T0.scaffold_847435721_c1_1
T0.scaffold_339049266_c1_1
T0.scaffold_961428012_c1_71
T0.scaffold_290627530_c1_1
Soil9.scaffold_45638853_c1_1
Soil17.scaffold_63240252_c1_1
T0.scaffold_1016848578_c1_1
T0.scaffold_391332209_c1_1
Soil9.scaffold_477396445_c1_1
Soil5.scaffold_225756440_c1_1
Soil14.scaffold_618164533_c1_1
Soil15.scaffold_515991602_c1_2
T0.scaffold_925671294_c1_1
T0.scaffold_1051169002_c1_3
T0.scaffold_701892526_c1_1
