3.486000	3.933000	4.315000	4.712000	4.976000	5.444000	6.381000	6.778000	7.174000	7.643000
3.775000	4.163000	4.556000	5.156000	5.733000	6.333000	6.922000	7.210000	7.535000	7.811000
3.847000	4.250000	4.628000	4.904000	5.492000	6.093000	6.502000	6.934000	7.318000	7.931000
4.051000	4.373000	4.688000	5.144000	5.661000	6.393000	6.862000	7.066000	7.498000	7.871000
4.255000	4.483000	4.784000	5.120000	5.210000	5.889000	6.538000	6.840000	7.498000	8.147000
4.051000	4.363000	4.724000	4.837000	5.529000	6.009000	6.441000	6.910000	7.426000	8.075000
3.883000	4.483000	4.748000	5.444000	6.177000	6.720000	7.222000	7.667000	7.895000	8.279000
4.279000	4.556000	4.772000	5.180000	5.565000	6.129000	6.682000	7.535000	8.033000	8.508000
3.907000	4.195000	4.664000	4.892000	5.505000	5.889000	6.081000	6.778000	7.497000	8.075000
4.135000	4.495000	4.892000	5.553000	5.853000	6.201000	6.622000	7.603000	7.943000	8.339000
