3.579355	6.614042	8.313297	6.993451	7.863293	7.394324	7.703469	9.195275	8.951251	7.408147	6.002599
6.485458	8.113498	6.922265	8.940764	5.854640	8.700658	10.399258	9.931004	10.034391	8.775919	6.887284
3.158552	4.840675	5.133395	4.788626	5.594604	6.097306	4.894467	4.677926	5.040401	4.914325	3.004259
3.708548	6.121621	6.056693	5.451869	6.236323	4.823604	6.195206	6.360087	6.411653	5.645312	4.682678
4.438779	4.757554	4.145005	4.309927	10.565830	4.271422	4.313370	4.348591	4.474711	4.042682	3.171717
1.921642	2.603416	3.743518	4.392874	3.016298	3.096673	2.878362	3.407395	2.972905	2.645868	1.533107
1.626405	2.022309	2.748065	2.724019	4.157986	2.951410	4.031195	3.585703	2.965867	4.816916	2.225708
1.772719	1.417086	2.395261	1.289821	3.463530	3.056678	2.966485	3.863687	4.407125	1.744503	1.155781
0.923484	1.778436	1.826265	2.195515	4.204802	2.785073	3.021075	3.364962	2.855674	4.334025	1.725139
1.911561	2.244430	2.616187	3.231024	3.924765	4.049616	4.511642	4.341310	4.240394	2.813603	1.512730
